transaction_id,transaction_date,booking_date,value_date,payment_date,amount,currency,from_account_id,from_account_name,counterparty_account_id,counterparty_name,counterparty_country,counterparty_bank_bic,counterparty_business_type,narrative,payment_purpose_code,related_trade_invoice_id,swift_message_type,transaction_status,transaction_type_description,end_to_end_identification,is_fraud
80914a57-cb21-48b6-8811-ee4a6ee1ddd2,2025-09-22,2025-09-24,2025-09-25,2025-09-28,62703.99,SEK,GB64YPVV56336217649817,"Flores, Holloway and Shah",GB72JWYQ61810917944079,"Lopez, Jenkins and Estrada",CN,DABADKKK,Consulting,architect clicks-and-mortar markets,Invoice,,MT202,failed,Direct Debit,,0
687fe5fb-bfca-4e65-b697-6438f49f1b4b,2025-04-29,2025-04-29,2025-04-29,2025-05-01,227042.48,SEK,GB57GNCR30835754142510,Baker-Smith,GB93BOGN08184229119662,Gonzalez PLC,NO,NOKANO21,Agriculture,embrace extensible portals,Salary,,MT103,failed,Card Payment,40842476-1412-404d-bba0-4215fae57c02,0
10f75f0a-0a15-4c72-93be-e90d95094d44,2025-10-20,2025-10-20,2025-10-20,2025-10-23,380182.3,EUR,GB59ARQK76714609783526,Foster LLC,GB09YHHE69979538656253,"Nelson, Randolph and Garza",FI,DABADKKK,Electronics,utilize best-of-breed bandwidth,Unknown,,MT103,pending,Wire Transfer,,0
1f5156d9-08e6-486a-8492-312871784d8d,2025-06-27,2025-06-27,2025-06-28,2025-07-01,426685.45,NOK,GB71ZPAU10213799416507,Fowler-Beasley,GB45YZNC86383398089984,"Johnson, Barnes and Mcdowell",NO,NDEASESS,Consulting,empower ubiquitous architectures,Goods,f6105e1d-f67d-4a9c-aaa2-bd171d2f129e,MT103,pending,Wire Transfer,,0
ef3fca09-6661-4d94-9096-81a9396a7488,2025-06-19,2025-06-19,2025-06-19,2025-06-19,209897.16,EUR,GB91JRIU41469811430313,"Russell, Powers and Byrd",GB45AXNH95256741957704,"Jordan, Davis and Cox",DE,DABADKKK,Consulting,enhance end-to-end partnerships,Consulting,,MT103,billed,Card Payment,,0
056d827d-0f1f-4bcc-8add-47ed9f9b7221,2025-09-22,2025-09-24,2025-09-25,2025-09-28,41941.86,SEK,GB51WKDQ13512262779379,"Obrien, Henson and Fisher",GB41JURK30206405533143,"Walker, Harper and Hale",US,NDEASESS,Agriculture,implement ubiquitous e-services,Goods,,MT103,billed,Card Payment,f6e73890-a2e0-4ad1-a9ad-95da23f5376d,0
6c1f8f5c-d20d-4628-b4d2-d2e2349164bb,2025-11-26,2025-11-26,2025-11-27,2025-11-30,225751.72,SEK,GB80WSQB63947816269713,"Robertson, Avery and Cook",GB28JCSO59456112177355,Paul-Douglas,HK,NOKANO21,Consulting,harness world-class e-tailers,Consulting,87c2c7bd-3167-4049-818a-dc1bb6c837a6,MT202,failed,BG-LI-LÖN,be069e5b-2dff-4b86-95a1-eb0f29226bc3,0
8a08cc94-e63b-437f-97db-7277b8da2010,2025-08-02,2025-08-02,2025-08-03,2025-08-05,159817.49,DKK,GB08WQAP69847242901135,"Sanford, Park and Cruz",GB17KRUF89605428887251,Hopkins and Sons,FI,NOKANO21,Agriculture,deploy strategic bandwidth,Invoice,,MT103,failed,BG-LI-LÖN,cc784ec3-f9cc-41a6-bd99-5bd25b807d70,0
3f6d4379-b84e-47e2-b5a3-f407ce223168,2025-07-12,2025-07-13,2025-07-13,2025-07-14,496485.57,DKK,GB92DAQI38087951792302,Prince-Vega,GB31EMRE26598654197871,Warren LLC,FI,DABADKKK,Electronics,orchestrate revolutionary web-readiness,Salary,61b09af4-120b-4e6d-ba1a-f143b332e68b,MT940,failed,Direct Debit,898ba1b1-9c7c-4523-8ba9-0216de8e76f1,0
a7df74fb-9729-45b3-91e0-45f0da0e6def,2025-12-06,2025-12-07,2025-12-08,2025-12-08,435603.07,NOK,GB94XTQF08912008785566,Kane Group,GB92XEOU18893047929501,,HK,HANDFIHH,Agriculture,evolve viral architectures,Consulting,,MT103,pending,Wire Transfer,80c5f908-55c7-4aa2-98fa-97620fd8aaa8,0
660a6239-c5ca-45c3-88f2-ee957bddfd7d,2025-12-30,2025-12-31,2026-01-01,2026-01-04,30106.49,EUR,GB68JAMV92593971531142,Ryan-Marshall,GB73RYOH50017530936864,Rowland-Pennington,DE,NOKANO21,Shipping,deliver rich experiences,Goods,,MT202,billed,BG-LI-LÖN,,0
34e93905-1e50-47ba-b246-074a44bb05f9,2025-10-08,2025-10-10,2025-10-10,2025-10-10,456110.13,SEK,GB88HCRJ48211563753899,Matthews Inc,GB57ILVU49545444728554,Wiley Group,CN,NDEASESS,Agriculture,seize B2C content,Consulting,,MT940,billed,BG-LI-LÖN,5093943f-30df-4cfb-bf72-176fd523da65,0
01ecad0e-d7e8-4099-9d95-b0853fda2721,2025-11-25,2025-11-27,2025-11-27,2025-11-27,125840.15,NOK,GB44YBNV38801502806533,Harmon-Mcintosh,GB80OQXM78023886230819,"Hicks, Mccoy and Torres",DE,NOKANO21,Consulting,repurpose B2B partnerships,Goods,f6243834-dc9d-4f9e-b1a7-c4e73cb04b79,MT940,pending,Direct Debit,896ba340-088c-46f3-be71-d8588e59f0c3,0
21c888ca-1761-45ef-9c0c-2ca2235da0e2,2025-08-01,2025-08-02,2025-08-03,2025-08-03,239731.39,NOK,GB39XGTP52828186631915,"Day, Dean and Welch",GB16BSLS50129337625251,Robinson-Mccarthy,US,DABADKKK,Electronics,e-enable impactful functionalities,Invoice,,MT940,pending,Direct Debit,,0
03f4909e-a85b-4f21-8360-5c19e2dc8031,2025-04-23,2025-04-24,2025-04-25,2025-04-25,150055.33,EUR,GB16ZLZM43147033333437,"Brown, Butler and Gordon",GB38ABAQ77854935955720,Mason LLC,CN,DABADKKK,Electronics,architect integrated metrics,Invoice,40499e00-8dbb-4ae8-917b-c6b2e32ed31c,MT202,billed,Direct Debit,,0
608cb329-b243-4672-a6e1-80af617c4b63,2025-06-10,2025-06-10,2025-06-11,2025-06-11,126237.57,NOK,GB41HGRE14231045638710,Waters-Gray,GB87TLXV67147300002474,"Shelton, Christian and Gray",CN,HANDFIHH,Electronics,facilitate user-centric convergence,Invoice,,MT202,pending,Direct Debit,,0
4f8fbed3-d510-4634-abe4-f768c70ec986,2025-12-18,2025-12-20,2025-12-21,2025-12-24,411345.83,SEK,GB95AQKG79973186140966,Carr LLC,GB65HAIA94190621423350,Daniels Inc,HK,DABADKKK,Agriculture,,Salary,e1d61192-2d40-4fc1-97f7-4ea2873407b6,MT940,failed,BG-LI-LÖN,,0
5bed0680-2406-48e6-9425-4d246e829980,2025-10-08,2025-10-08,2025-10-08,2025-10-11,337301.2,SEK,GB83RZHM98534818060745,Jones Group,GB69EZLV73119451875197,David Ltd,FI,DABADKKK,Agriculture,integrate plug-and-play e-tailers,Consulting,38dc575a-c52a-4363-8485-a04711af7c46,MT202,pending,Direct Debit,,0
eee65ae3-8467-400c-95ae-c62bdd6de484,2025-11-07,2025-11-07,2025-11-08,2025-11-08,42865.39,USD,GB77KAWY05004755696330,Chandler-Cunningham,GB04HCAX66691596888738,Edwards PLC,CN,DABADKKK,Electronics,Payment for services,Goods,e60426a0-a5b6-47f1-8ff0-2de36c60fe78,MT103,billed,Wire Transfer,397e2d10-e62b-44cf-97cc-4d49a1f02959,0
9193110e-fbac-4e3c-9c23-7c385f049a00,2025-11-01,2025-11-03,2025-11-04,2025-11-07,391222.42,NOK,GB37HERZ53054907505636,Ford PLC,GB94WPML77741609401619,Gray-Brown,FI,HANDFIHH,Shipping,extend cutting-edge solutions,Invoice,dc4a0506-f1db-4978-abcf-c286a93f109f,MT103,failed,Wire Transfer,da641bcf-e89a-4c9e-8d97-ffcce0b43a39,0
23c9b2c0-5f73-416b-90e1-037fedb533b3,2025-11-10,2025-11-11,2025-11-12,2025-11-13,373794.05,SEK,GB58SSVK72343865981830,Patel-Todd,GB72RZBF55091043748462,Allison-Acevedo,DK,NDEASESS,Consulting,target revolutionary synergies,Goods,,MT103,pending,BG-LI-LÖN,,0
ecf017e5-2131-433b-90fa-c2f6b7490799,2025-06-16,2025-06-17,2025-06-17,2025-06-19,250675.85,DKK,GB91GWSW89755045101329,"Banks, Atkinson and Webster",GB21VEUX05353944307392,Bailey Group,DK,NOKANO21,Agriculture,maximize B2C web-readiness,Unknown,,MT202,billed,Wire Transfer,daae8351-babf-4576-af18-06598e9cd685,0
9596aad3-caf2-46fd-b3ca-36b1830a3f2a,2025-09-21,2025-09-23,2025-09-24,2025-09-26,41972.67,NOK,GB21MFIG51807204281100,Miller PLC,GB49HEQA85623030692191,"Barron, Choi and Mendez",HK,NOKANO21,Agriculture,grow robust web-readiness,Goods,ed3f75ca-feba-43b3-8ba7-872a2671ebbc,MT103,billed,BG-LI-LÖN,da662667-5443-4a21-88bc-a29fddb7480a,0
d664ddab-9db4-4954-955a-8c6fcd7da6ae,2025-04-14,2025-04-14,2025-04-15,2025-04-15,310030.7,DKK,GB21QSOE48853954105043,"Esparza, Reese and Gonzalez",GB96CKIY91417180184289,"Russo, Walker and Rodriguez",DE,HANDFIHH,Agriculture,extend frictionless initiatives,Salary,1e7bca95-c50e-43b0-b7dc-460b6df628c8,MT940,failed,Wire Transfer,,0
5a63fe97-aebe-4cd7-9aca-197ac7b32192,2025-11-27,2025-11-29,2025-11-30,2025-12-01,283288.31,EUR,GB56DKXV24463691187674,Valentine Group,GB25ATID61876226818734,"Herman, Ortiz and Bradley",HK,DABADKKK,Shipping,brand bleeding-edge relationships,Invoice,,MT103,failed,Wire Transfer,4ea3aeee-54e6-42dc-a4aa-bd7348abd982,0
a8b75adc-7b9c-4400-a0a8-0040a24da202,2025-11-19,2025-11-20,2025-11-21,2025-11-21,302924.43,SEK,GB56PQTH22969759337773,Cardenas Ltd,GB25QMLW34713037286179,Cannon-Nelson,US,NOKANO21,Shipping,synergize vertical niches,Invoice,,MT202,failed,Card Payment,729d5282-6929-4f81-96dd-336fdc263008,0
c74e7da4-6382-45e0-9632-e561a979c732,2025-05-10,2025-05-10,2025-05-11,2025-05-12,283402.15,SEK,GB40TNDT75217022399348,"Rodriguez, Beard and Acevedo",GB55SBPV54935691964000,Miller-Oneal,NO,NDEASESS,Agriculture,deploy real-time synergies,Unknown,,MT202,billed,Wire Transfer,,0
ece709b3-33e4-440b-8819-b50eccfe699a,2025-10-15,2025-10-16,2025-10-16,2025-10-19,322454.9,SEK,GB06VGAX62886515064595,Davis Ltd,GB05DOIW57194614202180,"Spencer, Patton and Williams",CN,DABADKKK,Electronics,Invoice for electronic parts,Goods,,MT103,billed,Wire Transfer,903c94c3-a814-4541-a157-6b1ae7d3697b,1
6ed08b35-1036-469d-8c4d-d32526c0afcc,2025-06-25,2025-06-27,2025-06-27,2025-06-28,477752.16,EUR,GB83ODRS39365720808392,Richardson and Sons,GB57SBIK43416253758323,Patton and Sons,NO,NOKANO21,Agriculture,transition global applications,Salary,bf8e99f7-bb69-4cb7-a415-47eaaa0c66fa,MT103,pending,Wire Transfer,469ad396-44d8-4d02-90b6-a0820b0be35d,0
079129b1-7f01-4d6f-b68f-8d49219d873c,2025-06-03,2025-06-03,2025-06-04,2025-06-06,172004.04,SEK,GB34CRFE47494806632465,Smith Inc,GB23FQBW60384915437295,"Gonzalez, Mora and Norton",CN,HANDFIHH,Shipping,cultivate visionary initiatives,Goods,7b6cdca9-d1c3-415c-8a54-a69b5c5ec040,MT940,billed,Wire Transfer,,0
49eb5e04-9edc-4b7e-b1fd-f85d4bcaf5e3,2025-09-03,2025-09-05,2025-09-05,2025-09-07,392359.78,EUR,GB81UHNF03556195727842,Schwartz-Singh,GB35NCLY51113836834678,Vaughn-Evans,NO,NDEASESS,Shipping,mesh magnetic applications,Consulting,b2c0844c-fc85-44f4-b9d6-05b6f9732372,MT103,pending,Wire Transfer,,0
3b2ef814-ae02-4610-84ff-90134c2244db,2025-12-30,2026-01-01,2026-01-02,2026-01-02,333497.21,DKK,GB39SROQ16517071690978,Bartlett Group,GB42JYZO93652683895696,Montgomery-Aguirre,DE,DABADKKK,Electronics,scale granular methodologies,Goods,,MT103,pending,Wire Transfer,,0
380a8a50-3cc5-4083-86d3-d42aed52411a,2025-07-08,2025-07-10,2025-07-11,2025-07-13,323417.54,DKK,GB66OIYT39803595768507,"Bishop, Thompson and Forbes",GB57SAAJ33361856779388,Villarreal-Nielsen,FI,DABADKKK,Agriculture,deploy magnetic portals,Consulting,,MT202,pending,Direct Debit,14e26a14-18ee-41a7-a4c4-e6328c2c955c,0
17fcf547-3abc-4ceb-8fde-ce26a97d47b4,2025-11-03,2025-11-03,2025-11-03,2025-11-04,87827.7,NOK,GB35AZFL97307196897054,"King, Martinez and Garza",GB28MJMH09974759304337,Williamson Ltd,CN,DABADKKK,Agriculture,,Unknown,,MT103,billed,Direct Debit,,0
77bf5294-25ea-450e-8052-069ba8454f5c,2025-12-22,2025-12-22,2025-12-23,2025-12-24,242510.06,EUR,GB77PKOL96719981651307,Miller-Gonzalez,GB31DZWK93698025011616,"Jones, Smith and Hall",DK,NDEASESS,Consulting,strategize ubiquitous web services,Goods,2d59fbbc-ba27-4537-8f72-4cf99faa6193,MT940,failed,Card Payment,2905b22b-94be-4bd2-b434-885c707df566,0
14462d3a-3080-4cbb-b61f-d1bb3d7021e8,2025-09-01,2025-09-01,2025-09-01,2025-09-04,328909.63,DKK,GB04HZDX06370392137590,"Walker, Khan and Ellis",GB44WYRN19300659214243,"Cruz, Hammond and Acosta",SE,NOKANO21,Electronics,expedite efficient platforms,Invoice,,MT103,failed,Direct Debit,5676e872-d2f2-475d-94a9-5ccf2d20e29d,0
de4c9b30-9509-4d4e-8d84-649dcce19191,2025-08-04,2025-08-04,2025-08-04,2025-08-05,246854.16,DKK,GB25FWIN71503216027155,Myers and Sons,GB57CHPD47746407309338,Williams Ltd,HK,NOKANO21,Consulting,generate cross-platform functionalities,Consulting,,MT103,pending,Card Payment,1ce250e8-9f38-46f0-a734-7f4d5ea272ff,0
90dfa563-ff33-4cb9-899a-c359dee49405,2025-08-15,2025-08-17,2025-08-17,2025-08-19,106644.14,DKK,GB87ZGBC55259347666183,Richardson PLC,GB16TIPD29219805756810,Martin Ltd,US,HANDFIHH,Electronics,reinvent wireless e-services,Unknown,,MT940,failed,Direct Debit,,0
59c0c845-9d7c-4d40-ab6d-b52c3651239b,2025-10-18,2025-10-20,2025-10-21,2025-10-23,92091.01,SEK,GB98CMDX14297840753929,Buck PLC,GB83IIAX28027845188990,"Allison, Kent and Ross",HK,NDEASESS,Electronics,incentivize efficient initiatives,Unknown,e1aa2e05-3f5e-432c-b350-0e22744ad113,MT103,pending,Wire Transfer,92f1b744-61d8-45f4-99b5-eeb38331ea78,0
9e98c49f-1a50-4392-93d9-cbe535083774,2025-07-15,2025-07-15,2025-07-16,2025-07-18,134059.63,DKK,GB28XGHF60533593175061,Alvarez LLC,GB67KMNE20387976000358,,NO,HANDFIHH,Textile,enable front-end solutions,Salary,,MT103,failed,BG-LI-LÖN,2ca28b91-1300-49d2-be93-f99dab3a57cb,0
4851cf0e-a70d-41cd-8291-914282b354af,2025-05-16,2025-05-18,2025-05-18,2025-05-20,230479.71,SEK,GB13JOBU52175283600844,Knox Inc,GB86TSUO72921928917749,Blevins and Sons,HK,NOKANO21,Agriculture,drive seamless e-markets,Unknown,979a5e67-b610-4af3-9894-3435982bce4b,MT202,pending,Card Payment,,0
bbf7a0e8-0200-435a-9145-1d0000ab2dc5,2025-05-03,2025-05-04,2025-05-04,2025-05-06,204499.48,DKK,GB03FLAT42989392331892,Martin-Valenzuela,GB27PSGT65696949333305,"Martinez, Moore and Berry",DE,HANDFIHH,Textile,,Unknown,,MT940,failed,Wire Transfer,,0
ab85adea-985a-48fa-ba5b-e1af7d109368,2025-06-29,2025-07-01,2025-07-02,2025-07-03,485219.78,SEK,GB61PVLD19786802504856,"Williams, Burns and Horn",GB94FYGD52480558478570,"Johnson, Garner and Mcpherson",FI,NDEASESS,Textile,benchmark rich ROI,Unknown,,MT202,billed,BG-LI-LÖN,,0
9dc4f462-8df4-4ca6-911e-bc367e017e1a,2025-05-26,2025-05-27,2025-05-27,2025-05-30,66090.34,SEK,GB35YAWP52407847689257,"Davenport, Johns and Duran",GB26LPND64150016108829,Ballard-Buchanan,FI,DABADKKK,Textile,brand cutting-edge web services,Salary,7fe8e122-c7fe-41bc-99eb-c6010098c366,MT940,pending,BG-LI-LÖN,96667ff2-ce34-4ada-837b-b1d579c6aaee,0
18f75ae0-b58b-417b-92ec-5e26dd36f10f,2025-04-28,2025-04-29,2025-04-29,2025-05-01,347354.48,NOK,GB69EPJC00438905502550,Lewis-Rodriguez,GB45JBXT40460596725066,"Williams, Daniels and Brady",NO,NOKANO21,Electronics,redefine magnetic interfaces,Unknown,,MT103,pending,BG-LI-LÖN,,0
03e919fa-c40d-4940-a222-e18ca7c7c10e,2025-09-22,2025-09-24,2025-09-24,2025-09-26,494498.83,SEK,GB14QXTX53972152044620,Gibson PLC,GB31QSWE92944004275267,Smith-Lynch,FI,HANDFIHH,Textile,generate robust initiatives,Consulting,,MT103,failed,Direct Debit,,0
b82d9677-c3d8-4fbc-a97a-4722065ed7b8,2025-06-28,2025-06-28,2025-06-28,2025-06-29,35530.12,DKK,GB35HZLI61510912736290,"Burns, Carter and Ferguson",GB07FYKC01702962377511,Hill-Wilson,FI,NDEASESS,Consulting,architect out-of-the-box interfaces,Salary,5aad6333-08d2-47f6-807b-ad4ab7b86bcd,MT103,failed,Direct Debit,,0
d7d8e42d-b361-407c-a7dd-79b883f72041,2025-09-05,2025-09-07,2025-09-08,2025-09-11,299063.13,DKK,GB40GGED97025853328631,"Hawkins, Garcia and Becker",GB97JIAP39419002275184,Hopkins Inc,FI,HANDFIHH,Textile,deploy holistic methodologies,Unknown,,MT103,pending,Wire Transfer,5ab0bfb7-b8bb-4664-8b2e-184c8051a267,0
37ae50c0-5c02-4f2b-aacc-d0f859cf9f07,2025-08-11,2025-08-12,2025-08-12,2025-08-13,291669.99,SEK,GB53OCFS57377060207029,Decker Ltd,GB68EVPJ06884339966612,Johnson Group,HK,NOKANO21,Electronics,cultivate seamless paradigms,Unknown,b5e0e0c2-0d47-4b9a-8c4c-8bd8c80239be,MT940,billed,Wire Transfer,,0
b7ae7208-d653-48ae-8ef1-78c21d02d352,2025-10-27,2025-10-27,2025-10-28,2025-10-30,44111.77,USD,GB08BYUE30710003893699,Rogers PLC,GB13QDYE19568667013629,"Calhoun, Robertson and Davis",SG,DABADKKK,Electronics,Payment for services,Goods,aa087a9f-e5e6-4295-a23a-64120d3a05f3,MT103,billed,Wire Transfer,1fd5c620-1e5e-4d73-9c66-c676355dc5b6,0
eb34e419-637a-425a-806f-e9b46ccd1eb5,2025-08-11,2025-08-11,2025-08-12,2025-08-14,391668.06,SEK,GB92NLWN89744264546452,Mack-Murphy,GB82YRZY17654252929616,Hoover Inc,US,HANDFIHH,Electronics,mesh dynamic ROI,Unknown,,MT103,pending,Wire Transfer,,0
2d0acfdb-4067-45a7-8379-6ccdb7c89bac,2025-06-13,2025-06-15,2025-06-16,2025-06-18,269632.56,NOK,GB36BGFT14786369833893,"Jordan, Walker and Duran",GB08REFA20991598631714,Lane-Gardner,FI,NDEASESS,Electronics,whiteboard integrated methodologies,Salary,,MT103,billed,Card Payment,,0
9a92437a-df06-494c-88ed-0c2402e2592e,2025-07-29,2025-07-29,2025-07-29,2025-07-29,153199.1,EUR,GB62XIVM93415367023871,"Perez, Pham and Turner",GB96RQZZ06952207871783,Nguyen and Sons,DE,DABADKKK,Electronics,optimize end-to-end e-markets,Invoice,cb28dd32-016e-455e-bda8-e074966e6af6,MT940,pending,Direct Debit,42ad919d-d6fb-4c03-a159-a38a306538dd,0
7835937f-1096-45e7-8664-b9f42d71f41a,2025-07-21,2025-07-21,2025-07-22,2025-07-24,295541.68,EUR,GB47FQZU76365195112551,Leonard LLC,GB84ODDL38567387856697,Sanchez and Sons,HK,DABADKKK,Agriculture,mesh best-of-breed supply-chains,Goods,f8dac1f9-9016-4df3-a7d3-749b6eb872c2,MT202,billed,Wire Transfer,,0
e8954223-f3c0-4008-893b-abd4e66ce66a,2025-05-25,2025-05-25,2025-05-26,2025-05-29,101152.04,DKK,GB73KSNR66566567539646,Gilmore-Henry,GB20CEDI17573390537423,Giles-Koch,CN,NDEASESS,Shipping,e-enable synergistic content,Salary,,MT940,billed,Wire Transfer,e3f76507-d97f-4231-ab5f-8c653c02f12d,0
c5c56fa0-c516-4ac6-af59-8bff12d88019,2025-06-14,2025-06-16,2025-06-16,2025-06-16,427788.09,NOK,GB93SXJJ98129675810977,"Price, James and Wagner",GB45PFKW91508910902476,"Sanchez, Manning and Blake",US,NDEASESS,Consulting,unleash dot-com architectures,Unknown,,MT103,pending,Wire Transfer,5154479b-300b-472e-9f49-13ed96fbc2cc,0
4d79af5b-abfb-4e0e-b000-622a54cd1c18,2025-12-18,2025-12-20,2025-12-20,2025-12-23,447420.7,NOK,GB84DUKI22500266045802,"Newman, Kaiser and Lopez",GB11IBRM22163132069371,Delgado Inc,FI,NOKANO21,Agriculture,implement frictionless eyeballs,Goods,23fd1bca-9926-4df5-8d24-0190426e4b17,MT103,pending,Wire Transfer,0affb9da-49ac-48fd-936a-f4cb50d357dd,0
62b7a8a2-a758-45f7-817c-bbd1675c383b,2025-08-24,2025-08-25,2025-08-26,2025-08-27,21119.78,EUR,GB82JFEV34998471651329,Rodriguez-Scott,GB59CRTI17206026081190,"Moore, Willis and Flynn",CN,HANDFIHH,Consulting,morph plug-and-play bandwidth,Consulting,,MT940,pending,BG-LI-LÖN,20ab0f07-daa2-4749-bc3b-f944d8a967f5,0
83db8a1b-2628-4e2a-abad-ce95ce26e632,2025-05-04,2025-05-06,2025-05-06,2025-05-06,449238.34,SEK,GB53JQNC80412786764812,Berger-Moreno,GB31TEZA66297182903875,Ross-Michael,DK,DABADKKK,Textile,whiteboard proactive e-business,Salary,7d2a81b5-8835-4e55-8aad-2f93f9deac60,MT103,failed,Wire Transfer,2c969b16-a90c-484f-9471-102b377976dc,0
597848b1-65ec-49f5-89d5-814a22e2dfda,2025-06-29,2025-06-29,2025-06-30,2025-07-01,71563.33,EUR,GB67YTDJ21957857951299,"Fernandez, Anderson and Moore",GB51QGNR97831528784820,Warren Ltd,NO,NDEASESS,Agriculture,target compelling initiatives,Goods,26f51ff2-25a6-4b14-b1fc-f56dab2ae09b,MT202,billed,Wire Transfer,7123fa71-9afc-4e20-9ac6-69cd29fc0b1b,0
3a3447e1-e3f0-490f-b1b9-df6ab54e5121,2025-08-15,2025-08-16,2025-08-16,2025-08-19,406081.26,EUR,GB70OIYN28318753696846,Martinez Ltd,GB51GJUQ74310632969350,Brown-Jennings,SE,DABADKKK,Agriculture,aggregate B2C niches,Invoice,,MT202,pending,BG-LI-LÖN,,0
b1fdb9b8-b5ca-4898-96be-d52f6a1cb016,2025-04-16,2025-04-16,2025-04-17,2025-04-19,47641.52,DKK,GB12CGWG60667742533301,"Ramirez, Rodriguez and Moore",GB48FYVL69820811163923,Richard-Lee,FI,DABADKKK,Shipping,,Goods,,MT940,pending,Card Payment,00112ed7-8e7a-4edf-801b-671753e0c2d7,0
30a6b074-80dc-450e-a81f-11a069f1f391,2025-05-23,2025-05-25,2025-05-26,2025-05-26,403475.38,SEK,GB58MXHP07922043932700,Mcmahon Inc,GB35DVEV20976737822383,Jones-Solomon,DK,HANDFIHH,Agriculture,re-contextualize bleeding-edge architectures,Unknown,,MT202,billed,Card Payment,,0
0509cdad-6d6c-4c2c-8785-35d6778e35a2,2025-06-24,2025-06-24,2025-06-24,2025-06-25,295906.91,DKK,GB21MQTG85317167762647,Young Ltd,GB81OXYC48942645679409,,NO,NOKANO21,Electronics,,Consulting,,MT103,billed,Wire Transfer,b46ba63a-ee04-4a4d-82a4-fa3ca2cd0bdb,0
