from_account_id,from_account_name,from_account_country,from_account_business_type,from_account_expected_turnover
GB91GWSW89755045101329,"Banks, Atkinson and Webster",DK,Electronics,651858.7
GB21MFIG51807204281100,Miller PLC,NO,,64750.44
GB21QSOE48853954105043,"Esparza, Reese and Gonzalez",DK,Electronics,843399.89
GB56DKXV24463691187674,Valentine Group,FI,Shipping,449345.36
GB56PQTH22969759337773,Cardenas Ltd,SE,Textile,951642.13
GB40TNDT75217022399348,"Rodriguez, Beard and Acevedo",SE,Textile,415937.04
GB06VGAX62886515064595,Davis Ltd,SE,Textile,99206.48
GB83ODRS39365720808392,Richardson and Sons,FI,Shipping,1350073.77
GB34CRFE47494806632465,Smith Inc,SE,Consulting,683244.6
GB81UHNF03556195727842,Schwartz-Singh,FI,Shipping,1357534.94
GB39SROQ16517071690978,Bartlett Group,DK,Shipping,1115479.99
GB66OIYT39803595768507,"Bishop, Thompson and Forbes",DK,Textile,453818.07
GB35AZFL97307196897054,"King, Martinez and Garza",NO,Agriculture,1732594.59
GB77PKOL96719981651307,Miller-Gonzalez,FI,Shipping,1392903.35
GB04HZDX06370392137590,"Walker, Khan and Ellis",DK,Shipping,1353741.77
GB25FWIN71503216027155,Myers and Sons,DK,Consulting,1887843.25
GB87ZGBC55259347666183,Richardson PLC,DK,Consulting,508147.87
GB98CMDX14297840753929,Buck PLC,SE,Shipping,521806.23
GB28XGHF60533593175061,Alvarez LLC,DK,Electronics,1309629.87
GB13JOBU52175283600844,Knox Inc,SE,Agriculture,1895715.15
GB03FLAT42989392331892,Martin-Valenzuela,DK,Consulting,576278.51
GB61PVLD19786802504856,"Williams, Burns and Horn",SE,Shipping,758970.65
GB35YAWP52407847689257,"Davenport, Johns and Duran",SE,Shipping,425698.77
GB69EPJC00438905502550,Lewis-Rodriguez,NO,Electronics,1554713.01
GB14QXTX53972152044620,Gibson PLC,SE,Shipping,1283704.26
GB35HZLI61510912736290,"Burns, Carter and Ferguson",DK,Agriculture,1651244.55
GB40GGED97025853328631,"Hawkins, Garcia and Becker",DK,Consulting,1149569.2
GB53OCFS57377060207029,Decker Ltd,SE,Agriculture,588744.67
GB08BYUE30710003893699,Rogers PLC,SE,Consulting,69756.61
GB92NLWN89744264546452,Mack-Murphy,SE,Consulting,255554.29
GB36BGFT14786369833893,"Jordan, Walker and Duran",NO,Electronics,297906.98
GB62XIVM93415367023871,"Perez, Pham and Turner",FI,Agriculture,1111983.69
GB47FQZU76365195112551,Leonard LLC,FI,Electronics,158629.82
GB73KSNR66566567539646,Gilmore-Henry,DK,Electronics,1373422.08
GB93SXJJ98129675810977,"Price, James and Wagner",NO,Shipping,1183642.93
GB84DUKI22500266045802,"Newman, Kaiser and Lopez",NO,Consulting,86038.63
GB82JFEV34998471651329,Rodriguez-Scott,FI,Textile,441897.87
GB53JQNC80412786764812,Berger-Moreno,SE,Consulting,1860800.22
GB67YTDJ21957857951299,"Fernandez, Anderson and Moore",FI,Consulting,738710.12
GB70OIYN28318753696846,Martinez Ltd,FI,Textile,679149.88
GB12CGWG60667742533301,"Ramirez, Rodriguez and Moore",DK,Agriculture,616582.15
GB58MXHP07922043932700,Mcmahon Inc,SE,Agriculture,345428.62
GB21MQTG85317167762647,Young Ltd,DK,Agriculture,879832.27
GB21XDWT39794769242880,Odonnell and Sons,NO,Shipping,949624.97
GB56GAGE42523432154389,Hernandez-Simmons,SE,Shipping,1082412.66
GB33GCRD64285142353797,"Kelly, Long and Olson",DK,Shipping,210980.37
GB28ORGX10530737286342,"Roberts, Lopez and Henry",NO,Electronics,571426.57
GB77UAPZ56063674305418,Peterson and Sons,DK,Textile,1935903.18
GB14CNNB68444400780353,Murray LLC,DK,Textile,637970.24
GB10EHNP32682962115301,Hamilton Inc,SE,Consulting,944574.74
GB54QWAE15117758037890,Smith-Perkins,FI,Consulting,1918505.65
GB03KEPS33506654555538,Coffey-Douglas,FI,Textile,358927.05
GB24HSKF75439736926546,Carr-Mcmillan,DK,Shipping,905394.25
GB69MEIS57559153756641,Jones-Burke,NO,Electronics,1605206.92
GB90VJTI02421290315462,"Gregory, Smith and Leach",NO,Consulting,1162646.73
GB50CYZW80204614761191,Nielsen and Sons,SE,Consulting,78764.46
GB79NJQE98702611469385,Bennett-Henderson,NO,Consulting,489599.95
GB63ZGNE54306644199231,"Foster, Simon and Garcia",NO,Textile,1861310.16
GB76DUBI12406258677909,"Cole, Barnes and Hanna",NO,Consulting,67452.24
GB28ZYSO00240257701983,Ho-Ortiz,DK,Shipping,816956.85
GB69LPEK63346906251616,Bell-Sanders,FI,Agriculture,1775514.41
GB98KWNL13434741177557,"Hicks, Hodges and Coleman",DK,Shipping,1308199.99
GB24IHSY74776105497891,Young-Campbell,SE,Textile,1746442.55
GB53POFL54851923420550,Rosales-Hunter,SE,Shipping,1392018.75
GB90CRDH14304246900644,Stevens-Ramirez,DK,Electronics,382017.92
GB49XYUO11972164975714,Joyce-Roach,DK,Consulting,843206.14
GB77HIAQ47794902983341,Smith-Cherry,DK,Consulting,199398.95
GB45QQXX22547385908231,"Burns, Atkins and Tucker",DK,Textile,1376810.14
GB49JYWY71656140764090,"Mcguire, Armstrong and Costa",SE,Agriculture,1671060.13
GB74JUVZ88250026185524,Jennings and Sons,NO,Textile,1735148.33
GB25LPGG21985247623240,Nunez and Sons,SE,Electronics,875890
GB14IQOH82319264629447,Roberts-Martin,FI,Electronics,1715040.58
GB45VXPP84623765171315,Medina Group,SE,Agriculture,1993469.51
GB88WMZB81721766331126,Smith-Rivers,SE,Electronics,1162271.35
GB96UCNB01314815799648,White Group,SE,Agriculture,1537982.92
GB53GLUB19488723490618,"Chambers, Brown and Jenkins",NO,Shipping,519205.02
GB48IBTW62170602721550,Zuniga-Gray,NO,Electronics,1893633.99
GB79TOLQ02639101792692,Perez-Thompson,NO,Consulting,821804.06
GB51ZQSO91776517429211,"Key, Contreras and Walker",SE,Consulting,1814385.98
GB94VPLQ46207609924625,Allen-Woods,SE,Textile,1378343.88
GB66LKVA79461105722662,Hernandez-Schneider,DK,Shipping,209678.86
GB32KMII02081910143861,Smith PLC,SE,Agriculture,344802.43
GB35EWUI95030012557470,"Smith, Sandoval and Ball",NO,Shipping,1618888.99
GB97LJGO22550581671426,Ball-Owens,DK,Electronics,1130821.46
GB09ZSAV50263646377770,Mathews-Mcgee,SE,Agriculture,344145.17
GB09LUTF97926610071221,Mathis-Weeks,NO,Agriculture,1217535.41
GB15OIGW12040264101712,"Hinton, Hill and Stein",DK,Agriculture,1526358.47
GB43FJIJ63229470757200,Garcia-Andrade,SE,Shipping,1993746.78
GB17XFXX87475455023229,White-Brooks,SE,Electronics,139056.73
GB29WMMR03303665497030,"Barnett, Raymond and Williams",DK,Textile,919601.82
GB48TKZT49984192068524,Hernandez and Sons,DK,Agriculture,1048402.24
GB96PTOO25934130666409,"Nunez, Diaz and Wells",NO,Textile,59219.68
GB31RKBE57180077007695,Campos-Williams,FI,Agriculture,1566463.8
GB42EOEQ71047919860968,Small and Sons,FI,Textile,234226.66
GB22XOIK91719034831055,"Bradshaw, Gonzalez and Callahan",NO,Agriculture,1671700.94
GB36KKEK34500950735761,Herring-Galvan,SE,Electronics,1834162.34
GB58TYSL70873532664355,"Knapp, Duncan and Williams",FI,Textile,309837.84
GB53GEUD45331029635064,Spencer-Ferguson,NO,Textile,1231576.24
GB80TOHL18091304904478,Coleman Inc,FI,Shipping,1361769.43
GB89UVUT15896164631891,"Mckay, Braun and Cox",FI,Electronics,1716803.26
GB68CBMW36696343800644,Moreno-Mcgee,FI,Agriculture,827415.28
GB40ZBFN10215562155916,"Johnson, Price and Martinez",NO,Consulting,1699834.36
GB88LKTM55751646650666,Anthony PLC,SE,,74349.01
GB65PGJS44869463469595,"Gross, Davis and Ortiz",FI,Shipping,1937641.25
GB28FTET87512871717480,"Ward, Garcia and Martin",FI,Electronics,737235.83
GB85VEIT79918708496492,James Ltd,NO,Electronics,1519237.84
GB17WHME58139403185755,Lowery Group,NO,Electronics,1491342.53
GB84YSVC30297389875838,"Butler, Gay and Patel",NO,Agriculture,1008253.56
GB07AWPH16420700192989,Johnson-Wright,DK,Agriculture,820964.42
GB57CWNP61858572358474,"Coleman, Fischer and Campbell",DK,Textile,1371418.23
GB81SOUN94140997082492,"Daugherty, Allen and Rios",DK,Textile,1054982.66
GB46UMOX20596951339475,Santana-Moss,SE,Textile,1045823.67
GB20KALB77651298435641,Velez-George,FI,Agriculture,755117.69
GB36XWKH45010748765086,Frazier and Sons,SE,Textile,633589.07
GB65DFOI10769310147883,"Chavez, Brooks and Hamilton",NO,Textile,243091.93
GB16YNNE10619886904970,Campbell Ltd,NO,Textile,359638.93
GB58TVUF22038308267191,Mccullough-Gaines,DK,Agriculture,552803.24
GB08TAWR78303105891334,"Smith, Alexander and English",NO,Textile,235432.91
GB08KBJJ62528887355045,Miles-Smith,DK,Agriculture,1311825.63
GB76FOSB67556936348915,Holmes-Mcintyre,NO,Textile,305212.4
GB91ESUT72016591031717,"Mcdonald, Collins and Smith",NO,Electronics,1080968.52
GB53WKCI27503838882029,Garcia PLC,SE,Electronics,251814.42
GB83FSFE39888856607908,Gonzales Ltd,DK,Consulting,1760219.32
GB62TWJH63035380634545,Miller and Sons,SE,Agriculture,1235110.86
GB59XHEL25961759004417,"Martin, Durham and Alvarez",NO,Agriculture,423733.28
GB97CJGJ91028030167344,Alvarez Ltd,FI,Agriculture,1118717.44
GB65GTGG92478604514058,Webster LLC,SE,Textile,151606.73
GB54CFUV67452919259343,Griffin Group,SE,Shipping,985926.44
GB48QYPL98598926883606,Harris Group,FI,Shipping,1056976.55
GB11SYSE35721433973802,"Scott, Davis and Adams",DK,Agriculture,238564.29
GB25XFGN01331491157441,Adams and Sons,NO,Agriculture,1738793.44
GB80UPJO73151610889041,Hopkins-Diaz,FI,Shipping,443637.97
GB40QFRU24194217293732,"Cruz, Nguyen and Mclean",NO,Agriculture,1603216.98
GB48RTSR87429537640507,"Wilkins, Bruce and Lynn",NO,Textile,1666810.12
GB67XEHQ70729236027922,Coleman-Evans,NO,Agriculture,341295.5
GB16OCDJ44189555674266,Beasley LLC,SE,Consulting,484694.07
GB85NTIA45955461440712,Mullen-Smith,DK,Textile,519761.3
GB39TNAD15063644543162,Gardner-Avila,FI,Textile,1522885.37
GB82YGKD79982372053786,Floyd-Marsh,DK,Agriculture,347900.29
GB92VIFV92397670760948,Richardson Group,NO,Electronics,898141.98
GB41SYNO94601682659668,Webb Ltd,FI,Electronics,339323.81
GB31OEJH16825725310887,"Andrade, Diaz and Peterson",SE,Textile,99108.68
GB49WAVD64570943294085,"Thomas, Brooks and Jackson",NO,Agriculture,830470.57
GB79YRJD36736905238584,"Roberts, Salazar and Romero",NO,Shipping,1972592.94
GB67VUHX28434473245986,"Bruce, Thompson and Rose",NO,Electronics,1060103.57
GB74DVBF03042145185806,Jordan-Berry,FI,Textile,1244383.46
GB73AMKW90595264225271,Stein and Sons,FI,Textile,1540409.4
GB31IXWH23120801135135,Cherry and Sons,FI,Consulting,1139450.61
GB18RJBP31167996646195,"Anderson, Horton and Ware",SE,Consulting,60885.99
GB02KRFL51709692447234,Dominguez LLC,SE,Shipping,552792.44
GB86PWMJ41868317649429,"Stevens, Sampson and Cook",FI,Shipping,419343.12
GB62MZJP74161653356380,Patel Inc,SE,Textile,449980.52
GB54FNRL16015864589294,"Grant, Scott and Francis",SE,Shipping,718969.79
GB03DESU03042330060988,Chaney-Sanders,FI,Textile,1565781.87
GB63KNLT91706931155366,Young-Salazar,SE,Shipping,1960942.4
GB56DBWD67809808288527,Henderson-Evans,FI,Agriculture,1205259.97
GB69LGFY93357661879870,Fowler PLC,FI,Consulting,1450120.95
GB25ZUDG39033477919205,"Rivas, Rivas and Estrada",FI,Electronics,1041547.99
GB71KHTS94201495671918,Thompson Group,NO,Agriculture,1644365.65
GB41FFPG04793519166595,"Brown, Davis and Guerrero",NO,Electronics,593232.43
GB29HHDD19789100923049,Cox LLC,SE,Shipping,345035.6
GB39NRNC57142770381334,"Dominguez, Campbell and Smith",FI,Consulting,312305.71
GB07PAEN06731353633600,"Weeks, Montgomery and Kirby",SE,Shipping,1036921.4
GB32YREZ13807071173207,"Dickson, Christian and Perez",DK,Consulting,1816685.21
GB34DWFV43357723203391,"Bowers, Farmer and Gonzalez",SE,Textile,1909685.12
GB04QBSV44672551250600,Rodriguez Ltd,FI,Electronics,1485036.69
GB37HKBB30051964032749,Weaver-Parks,SE,Agriculture,686907.07
GB27DGPO11519456603559,Hansen LLC,FI,Shipping,406979.63
GB82ZWNP41413782520647,Johnson Group,DK,Textile,728798.71
GB90MCZJ00784298211127,Gray Ltd,SE,Agriculture,1732719.8
GB84NGVU21740006270308,"Davenport, Taylor and Davis",SE,Shipping,82183.42
GB21ESGZ69501972880094,"Lucas, Williams and Hawkins",FI,Electronics,1616652.3
GB13UJIU79926956377196,"Taylor, Beck and Russo",FI,Consulting,994471.66
GB91NTPW03355593997745,"Cox, Olson and Sullivan",FI,Electronics,1026183.83
GB14SGYF62431949990358,Rodriguez LLC,FI,Shipping,1099353.12
GB20BMHB12960599010949,Holt-Kent,NO,Agriculture,886909.88
GB63VPTV79061781766728,"Taylor, Gallegos and Scott",SE,Textile,1623984.41
GB56HTOA33970966197574,Smith-Aguilar,DK,Electronics,709021.16
GB36OFMB39020694316945,Jacobson-Johnson,NO,Electronics,555296.5
GB42ACVA88767680266677,"Stuart, Salinas and Ward",SE,Textile,83813.27
GB46GZVT26852502677372,Wright Inc,NO,Textile,1869782.57
GB84DGYR01267117484043,Pugh-David,DK,Electronics,1833963.11
GB36NNOK45373913653674,Nunez-Webb,FI,Textile,551639.2
GB31UPBS75146736141333,Taylor LLC,FI,Agriculture,1049049.11
GB83FVEU41056196430151,Harris PLC,DK,Textile,1742432.15
GB41NDPY51882971084023,"Lewis, Shannon and Griffin",DK,Electronics,1762646.77
GB11UTXG76964395032520,"Hughes, Morales and Nichols",FI,Shipping,1887622.91
GB59UYNJ47354145077781,"Weeks, Brown and Walker",SE,Consulting,1018723.52
GB10EJVL48348154663542,Rios-Walker,SE,Agriculture,522267.62
GB83UIZK87433142017111,Nichols-Liu,DK,Shipping,1543818.09
GB49RDWN21344998580815,Dunn-Morris,FI,Shipping,75170.92
GB97UINE68889166463760,Shaw LLC,DK,Electronics,1832479.62
GB85VMWX22374588801944,"Ford, Booth and Ali",SE,Consulting,69067.25
GB72YNSV58170208136195,"Johns, Greene and Warner",SE,Consulting,67711.48
GB47YVEE16064190842680,Weaver and Sons,SE,Electronics,442779.97
GB45TLUE24766874178958,Hansen-Hensley,SE,Consulting,170800.27
GB21KDGE07164305806516,Daniels and Sons,DK,Consulting,513789.83
GB22KYTH05294994766385,Mcdaniel LLC,NO,Consulting,1399574.57
GB69YIKB71262529539704,"Jones, Cox and Marquez",FI,Shipping,1132655.83
GB13DAHS50149612983333,Hoffman Ltd,SE,Textile,1449167.67
GB91NSFR00497475093090,Miller-Smith,SE,Shipping,1044244.59
GB25JCUZ75512033094651,Dunn-Miller,FI,Agriculture,1084546.88
GB64EONU79568344157552,Melton-Ortiz,SE,Shipping,1318780.27
GB72GIWO88485009262675,Joseph LLC,FI,Consulting,1296968.49
GB12ABBI28537200448945,Cunningham-Edwards,DK,Textile,147047.19
GB19VQCR52419096874825,Jones Ltd,FI,Textile,832030.43
GB36NUXT18021952249897,"Griffith, Marks and Stephens",DK,Consulting,1472407.93
GB76RVKS38574279728271,Bush and Sons,NO,Shipping,1157486.94
GB17RSCU32426449042614,"Maynard, Gutierrez and Nguyen",FI,Textile,53149.69
GB47EXAW95842228211398,Brown-Jones,DK,Agriculture,665027.74
GB57MBSX05193388620311,Stevenson and Sons,SE,Shipping,1538522.4
GB58XREU32048305632383,"Mendez, Stout and Davis",DK,Shipping,398330.31
GB51ZIAF74305170556010,Francis-Odonnell,SE,Electronics,1157227
GB94ZLAQ13585769604590,"Huffman, Day and Watson",SE,Agriculture,1199766.99
GB54ZDLK33482336294513,Tucker Ltd,NO,Shipping,749709.94
GB45MIXB08776447628586,"Jones, Lyons and Scott",SE,Consulting,1713614.34
GB97RSMY46183757776885,Simon-Carlson,SE,Electronics,469144.5
GB72JHQV74928745325312,Gray LLC,NO,Textile,956475.46
GB89TCKZ78414033430348,Wright-Martinez,FI,Shipping,1976945.83
GB15UNGZ62075039205875,Adams-Williams,DK,Consulting,928478.21
GB34SBHE65893226653870,Evans and Sons,DK,Shipping,1092903.03
GB92GMRQ26288635457886,"Knight, Meyer and Washington",FI,Shipping,281966.82
GB40MXDM76906067888458,Ortega-Ross,FI,Agriculture,1909952.39
GB34OSYH91746741981893,"Hunter, Herrera and Williams",SE,Consulting,441746.77
GB10DBYV71582465640288,Rios LLC,DK,Textile,207656.78
GB24FZBU03975240850880,"Taylor, Ray and Black",DK,Textile,1171693.34
GB93CAIU52202524079105,Stevens and Sons,FI,Agriculture,359649.04
GB49NATS08442922356886,Johnston Group,FI,Agriculture,583895.8
GB46HKDG15559214747906,Pearson-Rose,DK,Electronics,399655.04
GB97XOXV75921652144383,French Group,DK,Agriculture,1381618.84
GB48SFIR93250274076485,"Barnett, Curtis and Parker",FI,Agriculture,83041.93
GB75RIJH21627726372041,Martinez Ltd,NO,Electronics,1002053.45
GB23WIXN37103753426513,Brown PLC,SE,,789973.93
GB79OWMM43437724849362,"Torres, Johnson and Anderson",FI,Textile,1891511.33
GB48WVQO68054972962205,Carter-Yoder,FI,Consulting,67957.34
GB22FRCR83022492715698,"Hart, Howe and Weaver",FI,Electronics,443896.98
GB54ZPFB92151798960491,Quinn and Sons,FI,Textile,1788262.23
GB37MWXG54432570832726,Quinn-Bond,FI,Consulting,61147.28
GB31KPMI75442099199777,Thomas Ltd,FI,Agriculture,729175.86
GB03JVOL62970213819939,Brown-Callahan,SE,Agriculture,536945.44
GB02EGKK84354646374211,Strong-Morgan,FI,Shipping,1274421.78
GB24VIML07867551169811,"Landry, Oconnell and Johnson",NO,Electronics,1725294.89
GB17LXDB26664630370955,Molina PLC,DK,Consulting,1116760.34
GB28JWFZ70543318145194,"Robinson, Carey and Lopez",FI,Consulting,1787791.88
GB42MNVX11778403718624,Freeman Group,DK,Textile,560145.7
GB32KWRM07836741464418,Burns-Smith,FI,Electronics,1900836.43
GB05PMNO08462787965778,Patel Inc,DK,Consulting,1175833.82
GB77JMMP81269962332907,"Williams, Moody and Kim",NO,Electronics,448369.6
GB40DGUL64387111293645,Williams LLC,NO,Consulting,1118773.47
GB75MSIX28837733910907,Smith LLC,SE,Shipping,1038126.01
GB44RDCQ23050903722972,Meyer PLC,DK,Agriculture,798666.63
GB34GNCJ75606662065717,Robinson-Gonzalez,DK,Textile,522632.86
GB34XNIH15984780891483,"Charles, Golden and Gonzalez",NO,Shipping,1425633.34
GB23NFEJ88042636534815,"Wyatt, Pope and Little",DK,Textile,641480.49
GB10TQCL52238793839797,"Colon, Francis and Baker",DK,Shipping,851718.71
GB58WGOS28518227433104,"Gonzalez, Boyd and Turner",DK,Shipping,77620.52
GB40DGJW97922731233011,"Schroeder, Davis and Myers",DK,Agriculture,101795.03
GB20LULB87372085329700,Blake-Wilson,NO,Textile,629716.08
GB82MZUD68324449756947,Obrien and Sons,SE,Electronics,1400674.68
GB29WWRT53280135769634,Pierce LLC,NO,Shipping,493011.4
GB12RHRY74579155537004,Frazier-Bolton,NO,Shipping,1268378.9
GB84QVFD49418418717114,"Hopkins, Cook and Choi",NO,Consulting,51633.25
GB84IMGC31156450425958,Anderson Ltd,DK,Textile,1804052.35
GB98UYSZ36590569766360,Roberts LLC,SE,Textile,469994.55
GB92EUOG58199009405263,Garcia Ltd,FI,Textile,1621390.78
GB38HPIO92624961426344,Singleton Inc,FI,Consulting,66875.77
GB19ETIF01541106139517,Lester-Hernandez,SE,Textile,297413.75
GB97VDMP29755972800368,Burns-Cline,FI,Textile,865571.26
GB34YWFB45413828552808,Bowman LLC,SE,Agriculture,1887553.74
GB35FGOH83943165631470,"Lawson, Ryan and Russell",FI,Consulting,1159659.78
GB62ETGM78000263152681,Keller PLC,SE,Consulting,767491.47
GB50HCHC41205834092509,Conrad-Martin,SE,Textile,1483603.62
GB63YVZH03004772734787,Bradshaw-Cohen,DK,Consulting,136002.52
GB57PIDN36038070047743,Mills and Sons,NO,Textile,631090.78
GB80UUWW73501532951874,Woods-Palmer,FI,Textile,1347902.66
GB47CVKM22228803377288,Conley PLC,SE,Consulting,1006060
GB82ZPAN96094150556072,"Mckinney, Martinez and Gallagher",NO,Consulting,1490335.51
GB48SJQC90296992103740,Ramsey-Jones,DK,Consulting,1233371.66
GB60KPZT32758300469413,Hernandez-Marshall,SE,Textile,344425.36
GB71RYOU18171814782123,Salas-Farmer,FI,,285302.36
GB64IRMC11742593954355,"Smith, Price and Gutierrez",SE,Shipping,388470.86
GB20VDGW93367288902771,Cruz-Thompson,FI,Agriculture,1124892.74
GB82UAKV35412540743203,Bailey-Ray,SE,Textile,1572013.4
GB64GQRE79640455133177,Pierce-Carr,SE,Agriculture,207206.51
GB13NBVM48112784090740,Ochoa-Johnson,SE,Electronics,312590.53
GB98GQWR64103243235062,"Lee, Ballard and Garcia",FI,Consulting,279347.12
GB86DPJV16621517579454,Robinson-Short,FI,Agriculture,1539086.54
GB45IMLV63198356175175,"Gutierrez, Soto and Glenn",NO,Consulting,376173.1
GB02PZXW47358812484295,"Brewer, Case and Washington",FI,Electronics,1122283.69
GB76RFLR62116289830409,"Sherman, Newman and Barton",DK,Consulting,1337064.56
GB37HAPQ13049415231823,"Saunders, Davis and Hughes",NO,Agriculture,1490300.8
GB65RYGN23846280999841,Bishop-Jensen,NO,Textile,54022.74
GB73ZIAU84823926337039,"Carpenter, Hobbs and Martinez",FI,Textile,1724364.17
GB96BVOO26094695729299,"Diaz, Rodriguez and Martinez",NO,Electronics,1967950.18
GB20GUWS39935003226460,Brooks and Sons,NO,Electronics,270537.25
GB93PREZ17519467486916,"Fleming, Stokes and White",FI,Textile,70818.56
GB57XFHD36417401112312,Thomas-Johnson,DK,Agriculture,1763723.34
GB96KABC04485071060905,Williams Inc,NO,Shipping,1288646.03
GB46YCFD85003999996828,Paul-Ramos,SE,Consulting,825938.18
GB87TMDQ56968192536222,"Mccullough, Vargas and Howell",SE,Electronics,458666.89
GB07IJIG43406571070849,Anderson and Sons,DK,Textile,471302.35
GB37GPYY92266151361858,Castillo and Sons,SE,Electronics,242049.06
GB37VKCC13796566036793,"Watson, Murphy and Walker",DK,Electronics,559461.94
GB83MOAD11986185867965,Decker Ltd,FI,Consulting,1474580.01
GB50FSJA30054764393279,"Jackson, Gardner and Stephens",NO,Consulting,844242.38
GB56KKUE64840906033088,Bennett-Alexander,DK,Textile,824994.8
GB90YONE93329443019217,Brown-Ortiz,SE,Electronics,905198.7
GB65LWOC51701493007080,Jacobs Inc,DK,Textile,1066364.97
GB90DQBO08762324913105,"Hatfield, Mccarthy and Koch",FI,Textile,351650.75
GB88YAOV08121919393299,"Jones, Wright and Lee",FI,Consulting,52044.51
GB96NFET18892460877043,Robinson PLC,NO,Agriculture,1438980.97
GB96XUXK96704545605590,Howard-Harris,NO,Agriculture,644305.13
GB17EJMA60865953255333,Roberts-Contreras,FI,Agriculture,1729772.57
GB86JTLZ07728885011233,"Vargas, Hernandez and Gaines",SE,Agriculture,1995904.97
GB78COGD89704734252834,Wright-Smith,NO,,572942.11
GB79OZYN74952512706825,"Gomez, Russo and Brown",DK,Consulting,657457.7
GB26VBBR02510773389198,White-Barker,DK,Agriculture,1270197.94
GB39XUBX78188203842937,"Black, Boyd and Smith",SE,Consulting,83864.54
GB43UGTY10038395894104,Jacobs-Mcdaniel,DK,Electronics,540871.31
GB53PCWY60661943619010,Simon Ltd,SE,Consulting,451423.96
GB12IKKN93750050061316,Ellis-Kim,FI,Consulting,264105.97
GB57AKPK57858077358068,Garcia Group,DK,Electronics,1047180.38
GB21SGKM10433990418302,Peters and Sons,FI,Shipping,1047808.22
GB77AWOT84387762669099,Schaefer-Ayala,SE,Textile,78745.53
GB38QZYC55837294426679,Wright Ltd,DK,Shipping,704396.54
GB21NNJY89082695602102,Watson PLC,DK,Electronics,534846.71
GB15CTMT24613609329437,Lawrence and Sons,SE,Agriculture,233912.61
GB28THNH86146947717861,"Shah, Yates and Murray",DK,Textile,795133.43
GB32IMUT95541973331567,Nguyen and Sons,DK,Electronics,1196883.37
GB66GWHO94028237527338,Anderson-Larson,FI,Consulting,66516.55
GB71CMXL34869858801456,Gregory LLC,DK,Textile,685324.02
GB38NNSC32578513083763,Patterson-Soto,SE,Agriculture,1408724.1
GB25AMCV80864046372625,White-Lee,FI,Agriculture,820409.86
GB12YKRO96366743843630,"Jacobs, Collins and Brown",SE,Electronics,1199379.24
GB98QEFF72357212657631,Fox Group,FI,Shipping,722711.13
GB65PPKS42903398328975,"Drake, Hampton and Howard",NO,Consulting,1957898.59
GB86XOAC30143593745826,Holloway Inc,SE,Shipping,1006991.3
GB75WZLF52680437479647,Cooley PLC,NO,Electronics,311867.11
GB56FPUF34843561732174,Martin-Myers,FI,Textile,601065.77
GB71FBIH56911923002123,"Howard, Mann and Smith",DK,Electronics,330489.1
GB66IBTM50320586024041,"Brandt, Adams and Banks",SE,Electronics,817145.32
GB70VOYL92171465380628,Williams-Wilson,NO,Shipping,1113940.06
GB67EVDV46391927521170,"Wong, Garrett and Jones",SE,Consulting,633949.07
