customer_id,transaction_id,currency,transaction_date,value_date,payment_date,booking_date,type_description,transaction_type,narrative,status,counterparty_name,amount,is_fraud,card_number,message,own_message,amount_f
CUST00858,5a71504b-8380-4397-a221-2e52d6e38103,DKK,2025-04-03 14:06:47,2025-04-05 14:06:47,2025-04-07 14:06:47,2025-04-07 14:06:47,Överföring,transfer,Transfer to Jakobsen A/S,billed,Jakobsen A/S,756.85,0,,,,756.85
CUST00505,d4ec0595-3ff0-4d13-add7-1599e9fedd48,SEK,2025-04-03 05:59:26,2025-04-04 05:59:26,2025-04-06 05:59:26,2025-04-07 05:59:26,Autogiro,autogiro,Direct debit to Jönsson Dahlström AB,billed,Jönsson Dahlström AB,9333.57,0,,,,9333.57
CUST00037,00926d61-368b-4d68-83c6-b5324b25c483,EUR,2025-04-03 17:09:53,2025-04-05 17:09:53,2025-04-06 17:09:53,2025-04-06 17:09:53,Autogiro,autogiro,Direct debit to Iversen ApS,billed,Iversen ApS,3313.52,0,,,,3313.52
CUST00214,a499eb92-f589-4e14-aee0-6433edda1677,EUR,2025-04-03 11:35:16,2025-04-05 11:35:16,2025-04-06 11:35:16,2025-04-07 11:35:16,Insättning,deposit,Deposit from Nutreco,billed,Nutreco,3986.20,0,,,,3986.2
CUST00241,75d9c07c-9d93-43ea-8182-144d5b120b1b,EUR,2025-04-03 09:35:45,2025-04-05 09:35:45,2025-04-06 09:35:45,2025-04-08 09:35:45,Autogiro,autogiro,Direct debit to Gregersen ApS,billed,Gregersen ApS,9662.22,0,,,,9662.22
CUST00757,19f145cc-0244-44d7-9ac2-a17666edef30,NOK,2025-04-02 07:38:56,2025-04-03 07:38:56,2025-04-05 07:38:56,2025-04-05 07:38:56,Kortköp,card,Card payment at Koponen Aaltonen Osk,billed,Koponen Aaltonen Osk,1466.02,0,1223 3655 9518 2990,,,1466.02
CUST00170,1fb426c0-6924-4248-a759-9511e604bfbe,NOK,2025-04-03 07:51:54,2025-04-03 07:51:54,2025-04-03 07:51:54,2025-04-04 07:51:54,Swish,swish,Swish payment to Eliassen-Arnesen RFH,billed,Eliassen-Arnesen RFH,7699.18,0,,Membership payment,Sports club 2025,7699.18
CUST00641,65363c77-787f-4578-b9e1-609d4008d4da,DKK,2025-04-03 11:28:34,2025-04-03 11:28:34,2025-04-05 11:28:34,2025-04-07 11:28:34,Insättning,deposit,Deposit from Brekke & co.,billed,Brekke & co.,1548.50,0,,,,1548.5
CUST00009,a801f15e-7046-425d-bd47-4d951bd36f41,SEK,2025-04-02 08:33:43,2025-04-03 08:33:43,2025-04-04 08:33:43,2025-04-06 08:33:43,Autogiro,autogiro,Direct debit to Korhonen Takala Ky,billed,Korhonen Takala Ky,13961.36,0,,,,13961.36
CUST00692,e2320dc9-5bf6-406d-817c-c74e6f180343,NOK,2025-04-03 14:02:45,2025-04-04 14:02:45,2025-04-06 14:02:45,2025-04-07 14:02:45,Autogiro,autogiro,Direct debit to Bøe ASA,billed,Bøe ASA,6242.75,0,,,,6242.75
CUST00169,6bca4f86-6500-4793-a238-dfc60a4e3ccf,NOK,2025-04-02 21:07:53,2025-04-04 21:07:53,2025-04-06 21:07:53,2025-04-06 21:07:53,Swish,swish,Swish payment to Haselaar & Linschoten,billed,Haselaar & Linschoten,8955.22,0,,Membership payment,Sports club 2025,8955.22
CUST00974,f5aed2e9-7ab3-437c-b2c8-c25e32f1227c,EUR,2025-04-03 13:49:12,2025-04-05 13:49:12,2025-04-06 13:49:12,2025-04-07 13:49:12,Autogiro,autogiro,Direct debit to Stichting Knoers,billed,Stichting Knoers,2363.53,0,,,,2363.53
CUST00958,ae864837-ccc1-4250-bedd-84838cd4e7bc,EUR,2025-04-02 09:51:18,2025-04-02 09:51:18,2025-04-04 09:51:18,2025-04-06 09:51:18,Autogiro,autogiro,Direct debit to Stichting van Bovene,billed,Stichting van Bovene,6357.56,0,,,,6357.56
CUST00010,d7d2f88f-bdec-467a-ac6e-8294b9dac779,DKK,2025-04-03 06:18:51,2025-04-03 06:18:51,2025-04-03 06:18:51,2025-04-04 06:18:51,Autogiro,autogiro,Direct debit to Veltman & de Vrome,billed,Veltman & de Vrome,1181.00,0,,,,1181.0
CUST00005,80000fac-5818-48c5-a7d1-99902049a289,EUR,2025-04-02 13:39:57,2025-04-02 13:39:57,2025-04-04 13:39:57,2025-04-04 13:39:57,Autogiro,autogiro,Direct debit to Berge Gruppen,billed,Berge Gruppen,1986.89,0,,,,1986.89
CUST00338,020e2e6a-bcc8-409b-98da-ae8cf9f7e004,EUR,2025-04-02 04:26:59,2025-04-04 04:26:59,2025-04-05 04:26:59,2025-04-07 04:26:59,Kortköp,card,Card payment at Eriksson & Malm HB,billed,Eriksson & Malm HB,1556.95,0,6741 4703 6651 1231,,,1556.95
CUST00950,9e1be56d-3f6c-4de5-adcf-cb58c2ca55ed,EUR,2025-04-02 19:59:39,2025-04-03 19:59:39,2025-04-04 19:59:39,2025-04-06 19:59:39,Swish,swish,Swish payment to Haugen-Hanssen BA,billed,Haugen-Hanssen BA,6927.66,0,,Membership payment,Sports club 2025,6927.66
CUST00376,aa94a1d4-3f52-4dae-b371-d64dfe87a17b,EUR,2025-04-03 05:21:54,2025-04-04 05:21:54,2025-04-06 05:21:54,2025-04-08 05:21:54,Insättning,deposit,"Deposit from Dixon, Wright and Wang",billed,"Dixon, Wright and Wang",8884.06,0,,,,8884.06
CUST00207,9c711439-8098-450d-baff-361ab37e3c41,SEK,2025-04-03 19:09:16,2025-04-03 19:09:16,2025-04-03 19:09:16,2025-04-05 19:09:16,Kortköp,card,Card payment at Larsen og Sønner,billed,Larsen og Sønner,2125.09,0,3921 5307 2676 3075,,,2125.09
CUST00816,1ed68b71-3ab8-4c3f-a612-e9e5a26d18f6,EUR,2025-04-03 18:46:01,2025-04-05 18:46:01,2025-04-06 18:46:01,2025-04-07 18:46:01,Insättning,deposit,Deposit from Riddle PLC,billed,Riddle PLC,8298.20,0,,,,8298.2
CUST00873,331bd602-9dd0-4e04-8485-742a6d22313c,NOK,2025-04-03 20:02:18,2025-04-04 20:02:18,2025-04-06 20:02:18,2025-04-08 20:02:18,Insättning,deposit,Deposit from Johnson-Mooney,billed,Johnson-Mooney,922.53,0,,,,922.53
CUST00484,38c6430f-3b3e-47bd-bae9-6dd3a2209a31,EUR,2025-04-02 12:14:26,2025-04-02 12:14:26,2025-04-02 12:14:26,2025-04-02 12:14:26,Swish,swish,Swish payment to Jansson HB,billed,Jansson HB,1251.81,0,,Membership payment,Sports club 2025,1251.81
CUST00822,4de5f2f7-0d39-4b57-a4d4-df156d54a501,NOK,2025-04-02 10:40:01,2025-04-02 10:40:01,2025-04-02 10:40:01,2025-04-03 10:40:01,Insättning,deposit,Deposit from Lehtola,billed,Lehtola,16977.25,0,,,,16977.25
CUST00331,2e874651-0c2c-47fa-a525-aeaf51e11799,EUR,2025-04-02 03:48:01,2025-04-02 03:48:01,2025-04-04 03:48:01,2025-04-05 03:48:01,Kortköp,card,Card payment at Ivarsson Svensson HB,billed,Ivarsson Svensson HB,5927.39,0,8728 6359 5957 9198,,,5927.39
CUST00778,e892464d-47b8-45fa-b8d8-cdd6490a886c,EUR,2025-04-02 17:31:57,2025-04-04 17:31:57,2025-04-05 17:31:57,2025-04-06 17:31:57,Kortköp,card,Card payment at Andersson HB,billed,Andersson HB,7730.77,0,8773 6816 6107 9552,,,7730.77
CUST00324,559383cf-5d13-4906-bdc4-f12bf2c5a2da,EUR,2025-04-02 05:41:39,2025-04-04 05:41:39,2025-04-04 05:41:39,2025-04-04 05:41:39,Insättning,deposit,Deposit from Bertelsen A/S,billed,Bertelsen A/S,12027.56,0,,,,12027.56
CUST00853,215bdef5-dcaa-4893-853d-1af98d40aeb2,SEK,2025-04-02 10:24:16,2025-04-03 10:24:16,2025-04-05 10:24:16,2025-04-06 10:24:16,Autogiro,autogiro,Direct debit to Hänninen As Oy,billed,Hänninen As Oy,8399.44,0,,,,8399.44
CUST00807,3cfe18e9-5f20-4c06-9ace-863187638104,EUR,2025-04-02 08:45:20,2025-04-04 08:45:20,2025-04-05 08:45:20,2025-04-07 08:45:20,Autogiro,autogiro,Direct debit to Pohjola Korhonen ry,billed,Pohjola Korhonen ry,6604.95,0,,,,6604.95
CUST00025,a12ac11c-2167-4dca-9b3a-c54ce31f2212,EUR,2025-04-03 09:56:18,2025-04-05 09:56:18,2025-04-06 09:56:18,2025-04-08 09:56:18,Autogiro,autogiro,Direct debit to Stichting de Hoogh,billed,Stichting de Hoogh,2693.52,0,,,,2693.52
CUST00631,b46499f4-3163-4274-b0c0-41a9d141b9e4,DKK,2025-04-02 13:54:25,2025-04-03 13:54:25,2025-04-04 13:54:25,2025-04-04 13:54:25,Insättning,deposit,Deposit from Brizee Groep,billed,Brizee Groep,11870.16,0,,,,11870.16
CUST00010,796512e3-b9b0-44ac-8d2d-8efd57c8294c,DKK,2025-04-03 08:11:28,2025-04-04 08:11:28,2025-04-06 08:11:28,2025-04-06 08:11:28,Swish,swish,Swish payment to Antonsen RFH,billed,Antonsen RFH,108.06,0,,Membership payment,Sports club 2025,108.06
CUST00317,e0880267-e43f-45c8-80a5-82f7b62b9f62,DKK,2025-04-02 06:51:09,2025-04-03 06:51:09,2025-04-04 06:51:09,2025-04-06 06:51:09,Autogiro,autogiro,"Direct debit to Le, Williams and Lee",billed,"Le, Williams and Lee",12795.04,0,,,,12795.04
CUST00621,861550f6-6b43-4b40-bb9a-21c41155581f,NOK,2025-04-02 02:26:29,2025-04-04 02:26:29,2025-04-05 02:26:29,2025-04-07 02:26:29,Autogiro,autogiro,Direct debit to Kjær & Lassen A/S,billed,Kjær & Lassen A/S,2467.11,0,,,,2467.11
CUST00044,0ba24c4f-4a26-4b59-a101-d598f7ad3965,NOK,2025-04-02 19:57:53,2025-04-04 19:57:53,2025-04-04 19:57:53,2025-04-06 19:57:53,Autogiro,autogiro,Direct debit to Jacobsen ApS,billed,Jacobsen ApS,9124.97,0,,,,9124.97
CUST00883,af481fc0-7eba-4464-a5c2-27c0d085449d,SEK,2025-04-03 20:14:24,2025-04-05 20:14:24,2025-04-06 20:14:24,2025-04-07 20:14:24,Överföring,transfer,Transfer to Thorsen A/S,billed,Thorsen A/S,2272.23,0,,,,2272.23
CUST00767,8fffe845-6257-4e9c-8260-1132c02fb24f,NOK,2025-04-02 07:33:53,2025-04-02 07:33:53,2025-04-03 07:33:53,2025-04-03 07:33:53,Insättning,deposit,Deposit from Petersen & Søn A/S,billed,Petersen & Søn A/S,3559.60,0,,,,3559.6
CUST00730,37c23f27-9267-47e6-a8f5-f5c200ebf725,EUR,2025-04-02 12:52:55,2025-04-02 12:52:55,2025-04-02 12:52:55,2025-04-03 12:52:55,Swish,swish,Swish payment to Nygård-Halvorsen AS,billed,Nygård-Halvorsen AS,3973.96,0,,Membership payment,Sports club 2025,3973.96
CUST00122,4242fc5c-866b-429a-b877-e049b52f5e0d,NOK,2025-04-03 08:17:08,2025-04-05 08:17:08,2025-04-07 08:17:08,2025-04-07 08:17:08,Kortköp,card,Card payment at Nielsen & Søn ApS,billed,Nielsen & Søn ApS,484.85,0,9914 5546 4181 1273,,,484.85
CUST00340,3cfbc642-8897-4497-8bad-4234395370c0,EUR,2025-04-02 12:19:18,2025-04-04 12:19:18,2025-04-06 12:19:18,2025-04-07 12:19:18,Autogiro,autogiro,Direct debit to Keinänen Karjalainen As Oy,billed,Keinänen Karjalainen As Oy,1056.73,0,,,,1056.73
CUST00963,0d3069bf-ca66-48a8-9f96-048a453b37f5,EUR,2025-04-03 06:19:11,2025-04-05 06:19:11,2025-04-07 06:19:11,2025-04-07 06:19:11,Överföring,transfer,Transfer to Nieminen Oy,billed,Nieminen Oy,482.73,0,,,,482.73
CUST00844,a1f78157-58f3-4359-a60d-a1aa005bbf73,EUR,2025-04-02 10:44:29,2025-04-04 10:44:29,2025-04-05 10:44:29,2025-04-05 10:44:29,Insättning,deposit,Deposit from Merckx & van der Laar,billed,Merckx & van der Laar,3053.29,0,,,,3053.29
CUST00045,9c8a1631-e5f9-4507-a889-28ad22345eac,DKK,2025-04-03 20:18:42,2025-04-03 20:18:42,2025-04-05 20:18:42,2025-04-07 20:18:42,Autogiro,autogiro,Direct debit to Nissen & Jørgensen ApS,billed,Nissen & Jørgensen ApS,6223.57,0,,,,6223.57
CUST00650,4799c04b-f719-45ae-bb00-84fa3822b51b,EUR,2025-04-02 22:39:29,2025-04-03 22:39:29,2025-04-05 22:39:29,2025-04-06 22:39:29,Kortköp,card,Card payment at Virtanen Niemi As Oy,billed,Virtanen Niemi As Oy,1512.79,0,8639 2410 8585 2444,,,1512.79
CUST00119,b0285484-beea-44d3-b8fc-75131b3fd4b0,SEK,2025-04-02 13:17:21,2025-04-04 13:17:21,2025-04-04 13:17:21,2025-04-04 13:17:21,Kortköp,card,Card payment at Bonilla-Medina,billed,Bonilla-Medina,5314.84,0,1329 3774 1171 4563,,,5314.84
CUST00653,d11ce313-34c6-4620-8d06-53e29ab62311,EUR,2025-04-03 09:31:17,2025-04-03 09:31:17,2025-04-05 09:31:17,2025-04-05 09:31:17,Autogiro,autogiro,Direct debit to Gundersen-Pedersen,billed,Gundersen-Pedersen,5219.75,0,,,,5219.75
CUST00697,dbb464a3-cec7-4642-a13a-9da294e7eb2a,DKK,2025-04-02 09:39:55,2025-04-03 09:39:55,2025-04-03 09:39:55,2025-04-04 09:39:55,Swish,swish,Swish payment to Helland ASA,billed,Helland ASA,11120.70,0,,Membership payment,Sports club 2025,11120.7
CUST00182,25f93ab9-5e5f-410c-af14-4dc6b9ede33f,EUR,2025-04-02 10:13:31,2025-04-04 10:13:31,2025-04-05 10:13:31,2025-04-06 10:13:31,Autogiro,autogiro,Direct debit to Kristensen AS,billed,Kristensen AS,1767.00,0,,,,1767.0
CUST00192,2d1594cb-dcc3-4cb2-90cb-079f2f5dff13,EUR,2025-04-02 14:30:25,2025-04-02 14:30:25,2025-04-03 14:30:25,2025-04-04 14:30:25,Autogiro,autogiro,Direct debit to Lunde AS,billed,Lunde AS,3358.51,0,,,,3358.51
CUST00270,2d7ffe23-e29f-419c-a9b5-09424f66a914,EUR,2025-04-03 11:40:20,2025-04-04 11:40:20,2025-04-06 11:40:20,2025-04-07 11:40:20,Kortköp,card,"Card payment at Henry, Blair and Holland",billed,"Henry, Blair and Holland",3239.23,0,9569 8367 3793 1601,,,3239.23
CUST00972,3ec8f48e-6d28-4989-9271-c87324bde1a8,EUR,2025-04-03 04:05:03,2025-04-03 04:05:03,2025-04-05 04:05:03,2025-04-07 04:05:03,Insättning,deposit,Deposit from Nygård-Eide,billed,Nygård-Eide,3618.09,0,,,,3618.09
CUST00719,c01d1c62-ba0d-4f1f-a325-85b486daf596,EUR,2025-04-03 01:15:43,2025-04-05 01:15:43,2025-04-07 01:15:43,2025-04-08 01:15:43,Överföring,transfer,Transfer to Johansen-Bakken,billed,Johansen-Bakken,3288.21,0,,,,3288.21
CUST00716,ef470a44-a4fc-479c-949c-c547c3712e42,EUR,2025-04-03 16:10:01,2025-04-05 16:10:01,2025-04-06 16:10:01,2025-04-06 16:10:01,Insättning,deposit,Deposit from Bengtsson & Jansson AB,billed,Bengtsson & Jansson AB,3818.55,0,,,,3818.55
CUST00215,9981d28f-a09c-4325-b047-fbeb2483c458,EUR,2025-04-02 15:53:34,2025-04-03 15:53:34,2025-04-04 15:53:34,2025-04-04 15:53:34,Autogiro,autogiro,Direct debit to Forsberg AB,billed,Forsberg AB,15989.17,0,,,,15989.17
CUST00529,da4bdf2d-56a0-48b4-9179-2ee0bc731d47,DKK,2025-04-03 10:36:13,2025-04-03 10:36:13,2025-04-04 10:36:13,2025-04-06 10:36:13,Swish,swish,Swish payment to Svensson AB,billed,Svensson AB,747.34,0,,Membership payment,Sports club 2025,747.34
CUST00577,71bf5c97-e473-40b0-9017-04a8c279d913,DKK,2025-04-03 23:56:10,2025-04-05 23:56:10,2025-04-05 23:56:10,2025-04-06 23:56:10,Överföring,transfer,Transfer to Martens BV,billed,Martens BV,12309.81,0,,,,12309.81
CUST00644,a0a2e9bd-4478-49c0-b129-9cb78b248c7e,SEK,2025-04-02 00:34:30,2025-04-02 00:34:30,2025-04-03 00:34:30,2025-04-04 00:34:30,Autogiro,autogiro,Direct debit to Rivera-Moore,billed,Rivera-Moore,6238.46,0,,,,6238.46
CUST00663,82f47196-1a41-457f-8bf7-0dc68b6daa25,NOK,2025-04-02 13:37:30,2025-04-03 13:37:30,2025-04-04 13:37:30,2025-04-04 13:37:30,Kortköp,card,Card payment at Hansen A/S,billed,Hansen A/S,6820.47,0,4050 1356 8192 8478,,,6820.47
CUST00607,25ba7795-62a8-46d7-ad58-bf633a0761d9,EUR,2025-04-03 07:40:24,2025-04-05 07:40:24,2025-04-06 07:40:24,2025-04-07 07:40:24,Insättning,deposit,Deposit from Aasen AS,billed,Aasen AS,856.23,0,,,,856.23
CUST00258,e6d037c6-d2a2-4765-b700-7ce3e25c7f9c,NOK,2025-04-03 19:45:33,2025-04-04 19:45:33,2025-04-05 19:45:33,2025-04-07 19:45:33,Autogiro,autogiro,Direct debit to Järvinen Soininen Oyj,billed,Järvinen Soininen Oyj,1140.91,0,,,,1140.91
CUST00041,556efce4-9d9e-4da2-9387-bcda5b7887ed,NOK,2025-04-03 12:54:56,2025-04-03 12:54:56,2025-04-04 12:54:56,2025-04-05 12:54:56,Swish,swish,Swish payment to Dahlgren Berg AB,billed,Dahlgren Berg AB,7279.32,0,,Membership payment,Sports club 2025,7279.32
