customer_id,country,currency,account_numbers,account_name,product,account_type,available_balance,booked_balance,value_dated_balance,status,credit_limit,latest_transaction_booking_date,registration_number,dob,nationality,residence_country,occupation,gender,bank.name,bank.bic,bank.country
CUST00010,DK,DKK,"[{'value': '47385972235', '_type': 'BBAN_SE'}, {'value': 'SE8010385972235', '_type': 'IBAN'}]",Mari Kristiansen,STUDENTKONTO,Current,24144.58,24144.58,18201.17,OPEN,17475.11,2025-04-04,272-18-4041,1987-08-29,DK,FI,Analyst,Other,Nordea,NDEASESS,SE
CUST00011,NO,NOK,"[{'value': '43274958945', '_type': 'BBAN_SE'}, {'value': 'SE806274958945', '_type': 'IBAN'}]",Ronnie Mathiasen-Søndergaard,STUDENTKONTO,Current,23349.47,23349.47,18667.25,OPEN,879.80,2025-04-04,409-47-3594,1984-02-18,NO,FI,Cashier,Male,Nordea,NDEASESS,DK
CUST00012,SE,SEK,"[{'value': '40338258951', '_type': 'BBAN_SE'}, {'value': 'SE803338258951', '_type': 'IBAN'}]",Tove Andersen,STUDENTKONTO,Savings,36510.30,36510.30,33151.78,OPEN,15433.77,2025-04-04,931005-6420,2003-05-12,SE,NO,Student,Other,Nordea,NDEASESS,NL
CUST00013,NO,NOK,"[{'value': '49453871839', '_type': 'BBAN_SE'}, {'value': 'SE8012453871839', '_type': 'IBAN'}]",Lola Demmendaal,SPARKONTO,Savings,40125.97,40125.97,40028.65,OPEN,9042.95,2025-04-04,28037333524,1950-03-29,NO,NL,Student,Male,Nordea,NDEASESS,FI
CUST00014,NO,NOK,"[{'value': '41452066459', '_type': 'BBAN_SE'}, {'value': 'SE804452066459', '_type': 'IBAN'}]",Olivier van der Linden,STUDENTKONTO,Current,34092.25,34092.25,27076.75,OPEN,1884.37,2025-04-04,040664-116N,1979-01-17,NO,SE,Consultant,Male,Nordea,NDEASESS,SE
CUST00015,SE,SEK,"[{'value': '48894264595', '_type': 'BBAN_SE'}, {'value': 'SE8011894264595', '_type': 'IBAN'}]",Troy Liu,PERSONKONTO,Savings,129015.49,129015.49,107661.99,OPEN,11015.06,2025-04-04,230835-782J,1984-01-03,SE,NL,Nurse,Female,Nordea,NDEASESS,NO
CUST00016,NO,NOK,"[{'value': '47763140509', '_type': 'BBAN_SE'}, {'value': 'SE8010763140509', '_type': 'IBAN'}]",Rolf Karlsson,PERSONKONTO,Current,117800.60,117800.60,64609.55,OPEN,7408.80,2025-04-04,157-48-2647,2002-06-11,NO,DK,Student,Other,Nordea,NDEASESS,DK
CUST00017,SE,SEK,"[{'value': '40422701550', '_type': 'BBAN_SE'}, {'value': 'SE803422701550', '_type': 'IBAN'}]",Nicklas Nissen,SPARKONTO,Savings,101168.00,101168.00,91081.17,OPEN,5348.80,2025-04-04,22090573474,1953-05-26,SE,NO,Analyst,Female,Nordea,NDEASESS,SE
CUST00018,NO,NOK,"[{'value': '45491309593', '_type': 'BBAN_SE'}, {'value': 'SE808491309593', '_type': 'IBAN'}]",Theresa Miller,PERSONKONTO,Current,63571.31,63571.31,45870.86,OPEN,2409.22,2025-04-04,07040158698,1960-09-11,NO,NL,Engineer,Male,Nordea,NDEASESS,NL
CUST00019,NO,NOK,"[{'value': '46380780055', '_type': 'BBAN_SE'}, {'value': 'SE809380780055', '_type': 'IBAN'}]",Tapani Lahti,PERSONKONTO,Savings,25363.51,25363.51,24126.31,OPEN,7889.98,2025-04-04,553-97-3296,1970-09-02,NO,DK,Cashier,Female,Nordea,NDEASESS,NO
CUST00020,FI,EUR,"[{'value': '47380507338', '_type': 'BBAN_SE'}, {'value': 'SE8010380507338', '_type': 'IBAN'}]",Marte Jakobsen-Knutsen,PERSONKONTO,Current,63739.62,63739.62,41325.83,OPEN,11794.02,2025-04-04,463-16-4062,1953-10-25,FI,NL,Engineer,Other,Nordea,NDEASESS,SE
CUST00021,FI,EUR,"[{'value': '46803990970', '_type': 'BBAN_SE'}, {'value': 'SE809803990970', '_type': 'IBAN'}]",Maria Johansson,STUDENTKONTO,Current,9046.21,9046.21,4780.38,OPEN,2062.17,2025-04-04,008-10-0965,1954-01-17,FI,NO,Doctor,Other,Nordea,NDEASESS,NL
CUST00022,SE,SEK,"[{'value': '45305160342', '_type': 'BBAN_SE'}, {'value': 'SE808305160342', '_type': 'IBAN'}]",Artur Eriksson,PERSONKONTO,Current,101444.28,101444.28,80086.15,OPEN,12577.94,2025-04-04,732546801,2004-05-29,SE,DK,Nurse,Other,Nordea,NDEASESS,SE
CUST00023,NL,EUR,"[{'value': '41119980130', '_type': 'BBAN_SE'}, {'value': 'SE804119980130', '_type': 'IBAN'}]",Geir Bakken,STUDENTKONTO,Savings,47797.29,47797.29,29602.92,OPEN,3052.13,2025-04-04,659370487,1999-01-05,NL,FI,Student,Female,Nordea,NDEASESS,DK
CUST00024,SE,SEK,"[{'value': '40429416213', '_type': 'BBAN_SE'}, {'value': 'SE803429416213', '_type': 'IBAN'}]",Hannele Hyttinen,STUDENTKONTO,Current,1892.66,1892.66,1425.06,OPEN,18698.56,2025-04-04,24119411587,1966-06-16,SE,SE,Consultant,Female,Nordea,NDEASESS,NO
CUST00025,FI,EUR,"[{'value': '47316648259', '_type': 'BBAN_SE'}, {'value': 'SE8010316648259', '_type': 'IBAN'}]",Ragnar Persson,STUDENTKONTO,Current,24083.15,24083.15,20083.70,OPEN,6337.89,2025-04-04,021208-6672,2006-05-08,FI,SE,Teacher,Female,Nordea,NDEASESS,NL
CUST00026,SE,SEK,"[{'value': '44962610986', '_type': 'BBAN_SE'}, {'value': 'SE807962610986', '_type': 'IBAN'}]",Stina Persson,SPARKONTO,Current,133512.05,133512.05,114660.96,OPEN,13906.19,2025-04-04,417-63-7887,1976-09-30,SE,FI,Analyst,Female,Nordea,NDEASESS,NO
CUST00027,FI,EUR,"[{'value': '43633987776', '_type': 'BBAN_SE'}, {'value': 'SE806633987776', '_type': 'IBAN'}]",Gunhild Wikström,PERSONKONTO,Savings,135847.81,135847.81,124256.47,OPEN,569.14,2025-04-04,271043-2942,1996-11-10,FI,NO,Cashier,Male,Nordea,NDEASESS,SE
CUST00028,DK,DKK,"[{'value': '40041531046', '_type': 'BBAN_SE'}, {'value': 'SE803041531046', '_type': 'IBAN'}]",Dina Linschoten-Spiker,PERSONKONTO,Current,82976.22,82976.22,64123.62,OPEN,11858.94,2025-04-04,060-75-8884,2000-05-11,DK,NO,Driver,Male,Nordea,NDEASESS,FI
CUST00029,SE,SEK,"[{'value': '43696689457', '_type': 'BBAN_SE'}, {'value': 'SE806696689457', '_type': 'IBAN'}]",Anna Lehto,SPARKONTO,Current,46584.62,46584.62,39179.22,OPEN,7396.73,2025-04-04,162-08-8321,2007-05-24,SE,NL,Driver,Other,Nordea,NDEASESS,SE
CUST00030,NO,NOK,"[{'value': '41770791023', '_type': 'BBAN_SE'}, {'value': 'SE804770791023', '_type': 'IBAN'}]",Barry Hensley,PERSONKONTO,Savings,138901.69,138901.69,123788.25,OPEN,16143.59,2025-04-04,19099637806,1991-08-10,NO,NO,Cashier,Male,Nordea,NDEASESS,DK
CUST00031,SE,SEK,"[{'value': '42021598245', '_type': 'BBAN_SE'}, {'value': 'SE805021598245', '_type': 'IBAN'}]",Mats Larsson,PERSONKONTO,Savings,57689.99,57689.99,38930.89,OPEN,4847.01,2025-04-04,030978-2114,1998-03-13,SE,NO,Driver,Female,Nordea,NDEASESS,NO
CUST00032,FI,EUR,"[{'value': '45493800024', '_type': 'BBAN_SE'}, {'value': 'SE808493800024', '_type': 'IBAN'}]",Helena Heino,STUDENTKONTO,Savings,129720.76,129720.76,108934.18,OPEN,6957.42,2025-04-04,918476203,1954-02-20,FI,SE,Doctor,Female,Nordea,NDEASESS,NL
CUST00033,NO,NOK,"[{'value': '48519284858', '_type': 'BBAN_SE'}, {'value': 'SE8011519284858', '_type': 'IBAN'}]",Christopher Bass,PERSONKONTO,Current,87298.17,87298.17,69688.87,OPEN,14706.63,2025-04-04,480592731,1957-04-24,NO,FI,Driver,Other,Nordea,NDEASESS,FI
CUST00034,NL,EUR,"[{'value': '45111349421', '_type': 'BBAN_SE'}, {'value': 'SE808111349421', '_type': 'IBAN'}]",Elisabeth Lindberg,PERSONKONTO,Savings,17789.04,17789.04,8909.56,OPEN,13893.71,2025-04-04,534782097,1978-04-14,NL,NO,Artist,Female,Nordea,NDEASESS,NL
CUST00035,SE,SEK,"[{'value': '48249648005', '_type': 'BBAN_SE'}, {'value': 'SE8011249648005', '_type': 'IBAN'}]",Aila Räsänen,STUDENTKONTO,Savings,142356.74,142356.74,118397.21,OPEN,14535.21,2025-04-04,427953066,1996-06-25,SE,FI,Analyst,Female,Nordea,NDEASESS,SE
CUST00036,DK,DKK,"[{'value': '47289454630', '_type': 'BBAN_SE'}, {'value': 'SE8010289454630', '_type': 'IBAN'}]",Sandra Aguilar,STUDENTKONTO,Current,49264.34,49264.34,29357.61,OPEN,13707.70,2025-04-04,441-17-0686,1974-04-10,DK,NO,Nurse,Other,Nordea,NDEASESS,DK
CUST00037,FI,EUR,"[{'value': '43580822352', '_type': 'BBAN_SE'}, {'value': 'SE806580822352', '_type': 'IBAN'}]",Eric Forsberg,SPARKONTO,Savings,61208.24,61208.24,37036.58,OPEN,12329.90,2025-04-04,750929-7987,1977-02-10,FI,FI,Student,Female,Nordea,NDEASESS,NL
CUST00038,DK,DKK,"[{'value': '46490442894', '_type': 'BBAN_SE'}, {'value': 'SE809490442894', '_type': 'IBAN'}]",Dr. Viola Eriksen,STUDENTKONTO,Current,101506.27,101506.27,84191.88,OPEN,10551.31,2025-04-04,820-23-6756,1961-08-31,DK,NL,Artist,Male,Nordea,NDEASESS,FI
CUST00039,NO,NOK,"[{'value': '40855256552', '_type': 'BBAN_SE'}, {'value': 'SE803855256552', '_type': 'IBAN'}]",Olivia van Allemanië,PERSONKONTO,Current,101082.95,101082.95,62916.18,OPEN,12419.84,2025-04-04,342650981,1964-08-05,NO,SE,Student,Female,Nordea,NDEASESS,DK
CUST00040,NL,EUR,"[{'value': '47285786023', '_type': 'BBAN_SE'}, {'value': 'SE8010285786023', '_type': 'IBAN'}]",Julia Torres,SPARKONTO,Savings,29568.07,29568.07,18391.11,OPEN,17906.87,2025-04-04,229-04-3165,1971-10-18,NL,SE,Driver,Male,Nordea,NDEASESS,SE
CUST00041,NO,NOK,"[{'value': '41995226582', '_type': 'BBAN_SE'}, {'value': 'SE804995226582', '_type': 'IBAN'}]",Tuulia Kärkkäinen,STUDENTKONTO,Current,120714.42,120714.42,115733.14,OPEN,9401.01,2025-04-04,401932679,1984-04-05,NO,DK,Analyst,Other,Nordea,NDEASESS,SE
CUST00042,NL,EUR,"[{'value': '49273512584', '_type': 'BBAN_SE'}, {'value': 'SE8012273512584', '_type': 'IBAN'}]",Sven Ekström,SPARKONTO,Savings,47936.04,47936.04,30180.33,OPEN,16877.33,2025-04-04,431120-4467,1984-11-02,NL,FI,Analyst,Female,Nordea,NDEASESS,NO
CUST00043,NO,NOK,"[{'value': '48922723063', '_type': 'BBAN_SE'}, {'value': 'SE8011922723063', '_type': 'IBAN'}]",Dr. Jeppe Bertelsen,SPARKONTO,Current,41552.32,41552.32,26421.36,OPEN,17914.02,2025-04-04,471119-9424,1991-11-12,NO,SE,Teacher,Male,Nordea,NDEASESS,FI
CUST00044,NO,NOK,"[{'value': '49246228194', '_type': 'BBAN_SE'}, {'value': 'SE8012246228194', '_type': 'IBAN'}]",Minna Kemppainen,PERSONKONTO,Current,57763.78,57763.78,40864.06,OPEN,11080.92,2025-04-04,080352-336U,1996-11-26,NO,DK,Engineer,Male,Nordea,NDEASESS,FI
CUST00045,DK,DKK,"[{'value': '46767538527', '_type': 'BBAN_SE'}, {'value': 'SE809767538527', '_type': 'IBAN'}]",Eero Lähteenmäki,SPARKONTO,Current,58726.78,58726.78,57045.48,OPEN,15192.76,2025-04-04,16094639879,1977-02-03,DK,DK,Analyst,Other,Nordea,NDEASESS,FI
CUST00046,NL,EUR,"[{'value': '43856070374', '_type': 'BBAN_SE'}, {'value': 'SE806856070374', '_type': 'IBAN'}]",Fru Gundhild Andreasen,SPARKONTO,Current,120080.29,120080.29,76427.22,OPEN,1065.98,2025-04-04,441-75-9940,1971-05-22,NL,FI,Driver,Other,Nordea,NDEASESS,DK
CUST00047,NO,NOK,"[{'value': '43949401194', '_type': 'BBAN_SE'}, {'value': 'SE806949401194', '_type': 'IBAN'}]",Cathrine Simonsen,STUDENTKONTO,Current,126155.60,126155.60,120284.88,OPEN,11505.64,2025-04-04,524-61-2781,1955-03-25,NO,SE,Doctor,Other,Nordea,NDEASESS,NL
CUST00048,DK,DKK,"[{'value': '41982979741', '_type': 'BBAN_SE'}, {'value': 'SE804982979741', '_type': 'IBAN'}]",Olavi Nevalainen,PERSONKONTO,Savings,20787.07,20787.07,14333.76,OPEN,9366.64,2025-04-04,400201-2401,1970-08-01,DK,FI,Driver,Female,Nordea,NDEASESS,NO
CUST00049,DK,DKK,"[{'value': '44646751885', '_type': 'BBAN_SE'}, {'value': 'SE807646751885', '_type': 'IBAN'}]",Brittany Williams,PERSONKONTO,Current,38214.59,38214.59,38212.83,OPEN,4872.33,2025-04-04,19085229616,1988-08-19,DK,SE,Engineer,Male,Nordea,NDEASESS,FI
CUST00050,NO,NOK,"[{'value': '48677466102', '_type': 'BBAN_SE'}, {'value': 'SE8011677466102', '_type': 'IBAN'}]",Janet Ross,PERSONKONTO,Current,30304.42,30304.42,17064.74,OPEN,11497.41,2025-04-04,672-89-0091,2002-06-06,NO,NO,Student,Other,Nordea,NDEASESS,SE
CUST00051,FI,EUR,"[{'value': '49310583479', '_type': 'BBAN_SE'}, {'value': 'SE8012310583479', '_type': 'IBAN'}]",Kjell Solheim,STUDENTKONTO,Current,115151.27,115151.27,102357.50,OPEN,19312.06,2025-04-04,476-07-9133,2007-03-10,FI,SE,Nurse,Male,Nordea,NDEASESS,NO
CUST00052,FI,EUR,"[{'value': '45906898409', '_type': 'BBAN_SE'}, {'value': 'SE808906898409', '_type': 'IBAN'}]",Bo Johnsson,STUDENTKONTO,Current,86581.61,86581.61,46580.75,OPEN,2487.08,2025-04-04,573-77-5199,1991-02-24,FI,FI,Nurse,Male,Nordea,NDEASESS,NO
CUST00053,NL,EUR,"[{'value': '41591589823', '_type': 'BBAN_SE'}, {'value': 'SE804591589823', '_type': 'IBAN'}]",Rosa van der Veen,STUDENTKONTO,Savings,117503.98,117503.98,59495.33,OPEN,16535.45,2025-04-04,12039348363,1968-04-30,NL,SE,Driver,Female,Nordea,NDEASESS,DK
CUST00054,DK,DKK,"[{'value': '41870403050', '_type': 'BBAN_SE'}, {'value': 'SE804870403050', '_type': 'IBAN'}]",Mille Eriksen,STUDENTKONTO,Savings,106242.64,106242.64,85839.40,OPEN,15605.51,2025-04-04,150746-081T,1968-11-25,DK,DK,Driver,Other,Nordea,NDEASESS,NL
CUST00055,NL,EUR,"[{'value': '43658080160', '_type': 'BBAN_SE'}, {'value': 'SE806658080160', '_type': 'IBAN'}]",Francisco Fernandez,PERSONKONTO,Savings,40625.13,40625.13,38220.76,OPEN,15134.29,2025-04-04,155-30-6276,1959-11-09,NL,NL,Nurse,Other,Nordea,NDEASESS,NO
CUST00056,DK,DKK,"[{'value': '41395925222', '_type': 'BBAN_SE'}, {'value': 'SE804395925222', '_type': 'IBAN'}]",Bastiaan van Beaumont-le Gulcher,SPARKONTO,Current,50791.29,50791.29,34406.65,OPEN,7136.61,2025-04-04,070228-479T,1953-09-11,DK,NL,Cashier,Other,Nordea,NDEASESS,FI
CUST00057,SE,SEK,"[{'value': '40820581106', '_type': 'BBAN_SE'}, {'value': 'SE803820581106', '_type': 'IBAN'}]",Jean Carrillo,PERSONKONTO,Savings,77735.77,77735.77,57857.87,OPEN,13966.88,2025-04-04,067925315,2000-04-29,SE,DK,Student,Male,Nordea,NDEASESS,NO
CUST00058,SE,SEK,"[{'value': '45339955011', '_type': 'BBAN_SE'}, {'value': 'SE808339955011', '_type': 'IBAN'}]",Lex Mosley-Schakelaar,STUDENTKONTO,Savings,44488.22,44488.22,32771.37,OPEN,7203.27,2025-04-04,27116324437,1995-09-04,SE,NL,Artist,Female,Nordea,NDEASESS,NL
CUST00059,DK,DKK,"[{'value': '41079770569', '_type': 'BBAN_SE'}, {'value': 'SE804079770569', '_type': 'IBAN'}]",Ellen Berntsen,PERSONKONTO,Current,41002.01,41002.01,26970.05,OPEN,19042.11,2025-04-04,547-04-6456,1987-11-13,DK,NO,Consultant,Male,Nordea,NDEASESS,NL
CUST00060,DK,DKK,"[{'value': '46858164010', '_type': 'BBAN_SE'}, {'value': 'SE809858164010', '_type': 'IBAN'}]",Berend van Dam,PERSONKONTO,Current,41836.69,41836.69,27115.33,OPEN,3999.11,2025-04-04,888-60-2978,1967-03-01,DK,SE,Analyst,Male,Nordea,NDEASESS,FI
CUST00061,FI,EUR,"[{'value': '48824122054', '_type': 'BBAN_SE'}, {'value': 'SE8011824122054', '_type': 'IBAN'}]",Magnus Kristiansen,SPARKONTO,Current,7304.60,7304.60,5981.99,OPEN,2500.46,2025-04-04,261164-781B,1968-05-24,FI,SE,Nurse,Female,Nordea,NDEASESS,DK
CUST00062,DK,DKK,"[{'value': '41463320861', '_type': 'BBAN_SE'}, {'value': 'SE804463320861', '_type': 'IBAN'}]",Finn Larsen,PERSONKONTO,Savings,72067.77,72067.77,69944.06,OPEN,2724.70,2025-04-04,400410-5526,1973-04-10,DK,SE,Driver,Female,Nordea,NDEASESS,DK
CUST00063,SE,SEK,"[{'value': '42948284698', '_type': 'BBAN_SE'}, {'value': 'SE805948284698', '_type': 'IBAN'}]",Rachael Pearson,PERSONKONTO,Current,86764.66,86764.66,78571.56,OPEN,2161.03,2025-04-04,850416-2044,1991-09-28,SE,NO,Doctor,Other,Nordea,NDEASESS,FI
CUST00064,DK,DKK,"[{'value': '46539399243', '_type': 'BBAN_SE'}, {'value': 'SE809539399243', '_type': 'IBAN'}]",John Wilson,SPARKONTO,Savings,91144.49,91144.49,59123.29,OPEN,19805.61,2025-04-04,477-90-4199,1960-11-16,DK,FI,Nurse,Other,Nordea,NDEASESS,NL
CUST00065,SE,SEK,"[{'value': '43178659381', '_type': 'BBAN_SE'}, {'value': 'SE806178659381', '_type': 'IBAN'}]",Zahra Christiansen-Møller,PERSONKONTO,Current,91639.82,91639.82,57945.97,OPEN,3562.61,2025-04-04,240106A5940,1970-09-08,SE,NO,Analyst,Male,Nordea,NDEASESS,SE
CUST00066,NO,NOK,"[{'value': '46845366946', '_type': 'BBAN_SE'}, {'value': 'SE809845366946', '_type': 'IBAN'}]",Univ.Prof. John Mikkelsen,SPARKONTO,Current,900.02,900.02,554.18,OPEN,14208.26,2025-04-04,540510-7078,1965-12-26,NO,DK,Doctor,Other,Nordea,NDEASESS,FI
CUST00067,NO,NOK,"[{'value': '44010075517', '_type': 'BBAN_SE'}, {'value': 'SE807010075517', '_type': 'IBAN'}]",Rune Lind,SPARKONTO,Current,138624.70,138624.70,107057.25,OPEN,18214.02,2025-04-04,360116-5792,1973-01-31,NO,NO,Doctor,Male,Nordea,NDEASESS,NO
CUST00068,NO,NOK,"[{'value': '48251459094', '_type': 'BBAN_SE'}, {'value': 'SE8011251459094', '_type': 'IBAN'}]",Natasja Carlsen,SPARKONTO,Current,118997.97,118997.97,87386.04,OPEN,14144.81,2025-04-04,620130-6633,1950-04-27,NO,FI,Analyst,Other,Nordea,NDEASESS,FI
CUST00069,DK,DKK,"[{'value': '42568547910', '_type': 'BBAN_SE'}, {'value': 'SE805568547910', '_type': 'IBAN'}]",Harald Knudsen,SPARKONTO,Savings,65944.95,65944.95,52878.41,OPEN,2280.87,2025-04-04,211242-726F,1979-02-04,DK,NL,Nurse,Male,Nordea,NDEASESS,SE
CUST00070,FI,EUR,"[{'value': '45047405755', '_type': 'BBAN_SE'}, {'value': 'SE808047405755', '_type': 'IBAN'}]",Tracie Nelson,STUDENTKONTO,Savings,86648.92,86648.92,83012.82,OPEN,19940.44,2025-04-04,794-62-7617,2005-08-25,FI,DK,Student,Male,Nordea,NDEASESS,NO
CUST00071,DK,DKK,"[{'value': '45726515966', '_type': 'BBAN_SE'}, {'value': 'SE808726515966', '_type': 'IBAN'}]",Hannah Pieters van der Maes,STUDENTKONTO,Current,52520.18,52520.18,48784.24,OPEN,8527.08,2025-04-04,820614-9026,1966-01-20,DK,DK,Cashier,Other,Nordea,NDEASESS,FI
CUST00072,DK,DKK,"[{'value': '42362646960', '_type': 'BBAN_SE'}, {'value': 'SE805362646960', '_type': 'IBAN'}]",Ruth-Sofie Jensen,SPARKONTO,Current,122128.12,122128.12,80269.75,OPEN,2760.47,2025-04-04,240420A5088,1961-10-31,DK,DK,Analyst,Male,Nordea,NDEASESS,FI
CUST00073,NL,EUR,"[{'value': '40232804774', '_type': 'BBAN_SE'}, {'value': 'SE803232804774', '_type': 'IBAN'}]",Tommy Hagen,STUDENTKONTO,Savings,69565.46,69565.46,56439.64,OPEN,12695.47,2025-04-04,140475-612B,1968-04-04,NL,SE,Consultant,Female,Nordea,NDEASESS,DK
CUST00074,NL,EUR,"[{'value': '45532043071', '_type': 'BBAN_SE'}, {'value': 'SE808532043071', '_type': 'IBAN'}]",Leif Frederiksen,STUDENTKONTO,Savings,20086.48,20086.48,11262.75,OPEN,16086.62,2025-04-04,851027-7372,1982-09-15,NL,NO,Cashier,Other,Nordea,NDEASESS,NL
CUST00075,SE,SEK,"[{'value': '40400330495', '_type': 'BBAN_SE'}, {'value': 'SE803400330495', '_type': 'IBAN'}]",Dr. Paul Friis,PERSONKONTO,Savings,83061.59,83061.59,80862.98,OPEN,10218.32,2025-04-04,790821357,1970-04-18,SE,FI,Analyst,Other,Nordea,NDEASESS,NO
CUST00076,FI,EUR,"[{'value': '42028168523', '_type': 'BBAN_SE'}, {'value': 'SE805028168523', '_type': 'IBAN'}]",Kaylee van der Horst,SPARKONTO,Current,62615.81,62615.81,43317.18,OPEN,10410.70,2025-04-04,110249-7651,1971-12-20,FI,NO,Doctor,Female,Nordea,NDEASESS,NL
CUST00077,DK,DKK,"[{'value': '44305985001', '_type': 'BBAN_SE'}, {'value': 'SE807305985001', '_type': 'IBAN'}]",Jari Kallio,STUDENTKONTO,Savings,51311.35,51311.35,47141.69,OPEN,19978.60,2025-04-04,421006-1976,1957-08-05,DK,DK,Teacher,Female,Nordea,NDEASESS,NL
CUST00078,NL,EUR,"[{'value': '45915072151', '_type': 'BBAN_SE'}, {'value': 'SE808915072151', '_type': 'IBAN'}]",Dylan Mol,SPARKONTO,Current,72909.04,72909.04,72208.19,OPEN,11650.05,2025-04-04,748012539,1970-01-10,NL,NO,Driver,Male,Nordea,NDEASESS,NO
CUST00079,FI,EUR,"[{'value': '47779941999', '_type': 'BBAN_SE'}, {'value': 'SE8010779941999', '_type': 'IBAN'}]",Elisabeth Söderström,SPARKONTO,Current,111833.42,111833.42,83613.86,OPEN,2961.80,2025-04-04,300-90-2069,2000-09-07,FI,NL,Artist,Male,Nordea,NDEASESS,SE
CUST00080,DK,DKK,"[{'value': '48205284543', '_type': 'BBAN_SE'}, {'value': 'SE8011205284543', '_type': 'IBAN'}]",Anders Nguyen,PERSONKONTO,Current,15406.90,15406.90,10861.70,OPEN,1959.15,2025-04-04,280341-492X,1972-08-23,DK,FI,Artist,Other,Nordea,NDEASESS,NO
CUST00081,DK,DKK,"[{'value': '47953271391', '_type': 'BBAN_SE'}, {'value': 'SE8010953271391', '_type': 'IBAN'}]",Dawn Hensley,STUDENTKONTO,Savings,97650.58,97650.58,95411.43,OPEN,17511.47,2025-04-04,010811-4109,1954-07-02,DK,SE,Nurse,Male,Nordea,NDEASESS,DK
CUST00082,NO,NOK,"[{'value': '48250327663', '_type': 'BBAN_SE'}, {'value': 'SE8011250327663', '_type': 'IBAN'}]",Hr Christopher Mortensen,PERSONKONTO,Current,94858.57,94858.57,68012.24,OPEN,15327.21,2025-04-04,312-11-4067,1987-06-08,NO,SE,Student,Male,Nordea,NDEASESS,SE
